Developer,Country,Year_of_Establishment
System 3 Software Ltd.,Unknown,Unknown
INTAC,Unknown,Unknown
Pole To Win,Unknown,Unknown
Vigil Games,United States of America,2005
Z-Axis Ltd.,Unknown,Unknown
Sega AM3,Japan,1993
Wolf Team,Japan,1986
Square Enix London Studios,United Kingdom of Great Britain and Northern Ireland,2009
Tomy,Japan,1924
8ing,Unknown,Unknown
Raizing,Japan,1993
SCE Studio Liverpool,United Kingdom of Great Britain and Northern Ireland,2001
Tantalus Media,Australia,1994
Avanquest Software,Unknown,Unknown
Bigbig Studios,United Kingdom of Great Britain and Northern Ireland,2001
Dreamworks Interactive,United States of America,1995
Longtail Studios,Unknown,Unknown
AiLive,Unknown,Unknown
Hyde,Unknown,Unknown
Razorworks Studios,Unknown,Unknown
Zonic Limited,United Kingdom of Great Britain and Northern Ireland,1996
Sammy Studios,United States of America,2002
Free Radical Design,United Kingdom of Great Britain and Northern Ireland,1999
DreamFactory,Japan,1995
Playlogic Entertainment,Unknown,Unknown
Access Games,Japan,2002
Incinerator Studios,Unknown,Unknown
Tantalus Interactive,Australia,1994
HexaDrive,Japan,2007
Square Enix Business Division 2,Japan,2013
Bullet-Proof Software,Japan,1983
Double Fine Productions,United States of America,2000
Square Enix Business Division 6,Japan,2013
Giants Software,Switzerland,Unknown
Blue Tongue Entertainment,Australia,1995
BlitWorks,Spain,2012
Overworks,Japan,2000
"SCEE QA, Liverpool",Unknown,Unknown
Monster Games,United States of America,1996
Coresoft,Unknown,Unknown
Oxygen Games,United Kingdom of Great Britain and Northern Ireland,2001
SuperBot Entertainment,Unknown,Unknown
Torus Games,Australia,1994
Junction Point,Unknown,Unknown
Media.Vision,Japan,1993
Q-Games Ltd.,Japan,2001
Robomodo,United States of America,2008
The Game Factory,Denmark,2004
Neko Entertainment,France,1999
Pastagames,France,2000
Behaviour Santiago,Chile,2010
Titus Software,France,Unknown
Digital Integration,United Kingdom of Great Britain and Northern Ireland,1982
Mastiff,United States of America,Unknown
ImaginEngine,United States of America,1994
Mattel,United States of America,1945
South Park Digital Studios,Unknown,Unknown
Sculptured Software,United States of America,1985
Prope,Japan,Unknown
Mind's Eye,Unknown,Unknown
Mistwalker,Japan,2004
Marvelous AQL,Japan,2011
Marvelous AQL Europe,United Kingdom of Great Britain and Northern Ireland,2012
Genki,Japan,1990
Interactive Studios,Unknown,Unknown
Koei Tecmo,Japan,2009
Mud Duck Productions,United States of America,2002
Atomic Planet Entertainment,Unknown,Unknown
Vir2L Studios,Unknown,Unknown
Feelplus,Unknown,1992
Looking Glass Studios,United States of America,1990
Warner Bros. Entertainment Inc.,United States of America,1923
Lightstorm Entertainment,Unknown,Unknown
20th Century Fox Games,Unknown,Unknown
Electronic Arts UK,Unknown,Unknown
Telltale Games,United States of America,2004
Red Entertainment,Japan,2000
Artdink,Japan,1986
Mojang Studios,Sweden,2009
TNX,Unknown,Unknown
ak tronic,Unknown,Unknown
Mad Catz,Unknown,Unknown
Kush Games,United States of America,2005
Armature Studio,United States of America,2008
FASA Studio,Unknown,Unknown
Runecraft,United Kingdom of Great Britain and Northern Ireland,1997
TalonSoft,United States of America,1995
Beam Software,Australia,1980
38 Studios,United States of America,2006
Big Huge Games,United States of America,2000
Alfa System,Japan,Unknown
Pinnacle Software,Unknown,Unknown
Asylum Entertainment,United Kingdom of Great Britain and Northern Ireland,1998
Shaba Games,Unknown,Unknown
Reactor Zero,Unknown,Unknown
Black Lantern Studios,Unknown,Unknown
Rage Software,United Kingdom of Great Britain and Northern Ireland,1992
HME Inc,Unknown,Unknown
Toolbox Design,Unknown,Unknown
MotiveTime Ltd,Unknown,Unknown
3DO,Unknown,Unknown
Saffire,United States of America,1994
Game Refuge Inc,Unknown,Unknown
Midway Amusement Games,Unknown,Unknown
Ganbarion,Japan,1999
Bandai Namco Games,Japan,2014
Bandai Namco Studios,Japan,2014
Threewave Software,Unknown,Unknown
(Archive) Ubisoft US,Unknown,Unknown
MTO,Unknown,Unknown
Ubisoft US,Unknown,Unknown
Climax Brighton,United Kingdom of Great Britain and Northern Ireland,1999
Darkblack,United Kingdom of Great Britain and Northern Ireland,1998
Eutechnyx,United Kingdom of Great Britain and Northern Ireland,1996
Raylight Studios,Unknown,Unknown
Artech Studios,Canada,1982
Global VR,Unknown,Unknown
Triptych Games,Unknown,Unknown
Piranha Games,Canada,2000
Digital Anvil,United States of America,1996
Virgin Interactive Entertainment (Europe) Ltd.,United Kingdom of Great Britain and Northern Ireland,1983
CE Europe Ltd.,Unknown,Unknown
SIE Santa Monica Studio,United States of America,2016
Marvelous Interactive,Japan,1970
Rising Star Games,United Kingdom of Great Britain and Northern Ireland,2004
Salt Lake Games Studio,United States of America,2000
Midway Chicago,Unknown,Unknown
Tiger Hill Entertainment,Unknown,Unknown
Evolution Games,Unknown,Unknown
Ubisoft Australia,Australia,Unknown
Pipeline Software,Unknown,Unknown
NeoBards Entertainment,"Taiwan, Province of China",2017
Midway Home Entertainment,Unknown,Unknown
Square Enix Product Development Division 3,Japan,1996
Delphine Software,France,1988
Monkey Bar Games,Unknown,Unknown
Guerrilla Cambridge,United Kingdom of Great Britain and Northern Ireland,2013
Telenet Japan,Unknown,Unknown
Lucasfilm Animation Singapore,Singapore,2004
Deibus Studios,Unknown,Unknown
On Deck Interactive,Unknown,Unknown
Kodiak Interactive,Unknown,Unknown
1C-SoftClub,Russian Federation,1994
4th Kernel Studios,Unknown,Unknown
Code Mystics,Unknown,Unknown
Sprung Studios,Canada,2005
Square Enix Product Development Division 10,Japan,2003
Novarama,Spain,2003
Silicon Knights,Canada,1992
Digital Illusions CE: Canada,Canada,Unknown
Agatsuma,Unknown,Unknown
"Nerve Software, LLC",United States of America,2001
TimeGate Studios,United States of America,1998
iNiS,Japan,Unknown
High Score Entertainment,Unknown,Unknown
Press Start Inc.,Unknown,Unknown
Sega of America,United States of America,1986
Sega Europe,United Kingdom of Great Britain and Northern Ireland,1991
Nihilistic Software,United States of America,1998
David A. Palmer Productions,Unknown,Unknown
Polygon Magic,Japan,1996
Capcom Production Studio 8,United States of America,2000
Nobilis,Unknown,Unknown
Hands-On Mobile,Unknown,Unknown
Square Osaka Development Department,Japan,1990
Value Wave,Unknown,Unknown
Game Republic Inc.,Japan,2003
Atari Games,United States of America,1984
Climax Studios,United Kingdom of Great Britain and Northern Ireland,2008
Le Cortex,Unknown,Unknown
Ubisoft Casablanca,Morocco,1998
Touchstone Games,Unknown,Unknown
Propaganda Games,Canada,2005
Pacific Coast Power & Light,United States of America,1997
"TOSE Co., Ltd.",Unknown,Unknown
Square Enix Product Development Division 8,Japan,2003
Extended Play Productions,Unknown,Unknown
Arc System Works,Japan,1988
Zen United,Unknown,Unknown
Keita Takahashi,Unknown,Unknown
Dearsoft,Unknown,Unknown
Little Worlds Studio,Unknown,Unknown
Anuman Interactive,France,2000
Mesa Logic,Unknown,Unknown
Time Warner Interactive,United States of America,1994
Perfect Entertainment,Unknown,Unknown
Cryo Interactive,France,1992
P Studio,Japan,2012
Midway Studios Los Angeles,United States of America,1994
Studio Gobo,United Kingdom of Great Britain and Northern Ireland,Unknown
Realism,Unknown,Unknown
Agora Games,United States of America,Unknown
Humansoft,Unknown,Unknown
XS Games,Unknown,Unknown
Jester Interactive,Unknown,Unknown
SUCCESS Corp.,Unknown,Unknown
AWE Games,United States of America,1997
Lego Media,Unknown,Unknown
Tamsoft,Japan,1992
Playmates Interactive Entertainment,Unknown,Unknown
TopWare Interactive,Germany,1995
Reality Pump,Poland,1995
The Bitmap Brothers,United Kingdom of Great Britain and Northern Ireland,1987
Hip Interactive,United States of America,1995
Attitude Studios,Unknown,Unknown
Majesco Sales,Unknown,Unknown
Virtucraft,Unknown,Unknown
Pipedream Interactive,Unknown,Unknown
Atari Interactive,United States of America,1998
Illusion Softworks,Czechia,1997
"SIMS Co., Ltd.",Unknown,Unknown
SIMS,Japan,1991
A2M,Unknown,Unknown
Mortal Kombat Team,Unknown,Unknown
Midway Studios San Diego,United States of America,Unknown
Fuse Games,Unknown,Unknown
7 Studios,Unknown,Unknown
DiP Interactive,Unknown,Unknown
SME Dynamic Systems,Unknown,Unknown
Gaijin Entertainment,Russian Federation,Unknown
Eden Games,France,2015
Blue Fang Games,United States of America,Unknown
Square Enix Product Development Division 2,Japan,2003
Secret Level,Unknown,Unknown
Trion Worlds,United States of America,2006
Psygnosis Limited,Unknown,Unknown
Metro 3D,Unknown,Unknown
Headup Games,Germany,Unknown
Re-Logic,United States of America,2010
Pipeworks Studio,Unknown,Unknown
DR Studios,United Kingdom of Great Britain and Northern Ireland,Unknown
Codeglue,"Netherlands, Kingdom of the",Unknown
Engine Software,"Netherlands, Kingdom of the",Unknown
Original Force 3D,China,1999
The Third Floor,Unknown,Unknown
Shadowplay Studio,Unknown,Unknown
"Whoodoo EFX, Inc.",Unknown,Unknown
Hollywood-DI,Unknown,Unknown
The Cinesoup Consortium,Unknown,Unknown
Ideal Audio Inc.,Unknown,Unknown
The Skywalker Symphony Orchestra and Choir,Unknown,Unknown
Skywalker Sound,Unknown,Unknown
Phoenix Sound,Unknown,Unknown
Pinewood Studios,Unknown,Unknown
Steve Juliani Music,Unknown,Unknown
Gamespy Professional Services,Unknown,Unknown
Albion Localisations,Unknown,Unknown
Fontoló Studió Ltd.,Unknown,Unknown
Início Localization Services,Unknown,Unknown
La Marque Rose,Unknown,Unknown
SoftClub,Russian Federation,1994
Presto - Prekladatelsk Centrum s.r.o,Unknown,Unknown
Synthesis International S.r.l,Unknown,Unknown
Estudios EXA S.L.,Unknown,Unknown
toneworx GmbH,Germany,Unknown
EA Worldwide Motion Capture Studio,Unknown,Unknown
POP Sound,Unknown,Unknown
Beachhouse Films,Unknown,Unknown
Starbreeze Studios,Sweden,2002
Contrail,Japan,1997
Typhoon Games,Unknown,Unknown
Koch Media,Germany,1994
4A Games,Ukraine,2005
Grasshopper Manufacture,Japan,1998
Kadokawa Games,Japan,2009
Taiko Team,Unknown,Unknown
tri-Crescendo,Japan,1999
P2 Games,Unknown,Unknown
Screenlife,Unknown,Unknown
Suzak,Unknown,Unknown
XSEED Games,United States of America,2004
AQ Interactive,Japan,2005
Focus Entertainment,France,1996
Majesco,Unknown,Unknown
Red Kite Games,United Kingdom of Great Britain and Northern Ireland,2012
GenePool Software,Unknown,Unknown
Epicenter Studios,Unknown,Unknown
Golem Entertainmen,Unknown,Unknown
Maximum Games,United States of America,2009
"612 Entertainment, LLC",Unknown,Unknown
Adrenium Games,Unknown,Unknown
SuperVillain Studios,Unknown,Unknown
Kalisto Entertainment,France,Unknown
Juice Games,Unknown,Unknown
SEGA Racing Studio,Unknown,Unknown
Bugbear Entertainment,Finland,2000
Rovio Entertainment,Finland,2003
Housemarque,Finland,1995
Clover Studio,Japan,2004
Ghostlight Ltd.,United Kingdom of Great Britain and Northern Ireland,2004
Magic Wand Productions,Unknown,Unknown
"Ludia, Inc.",Canada,2007
"Disney Interactive Studios, Inc.",Unknown,Unknown
"Griptonite, Inc.",Unknown,Unknown
Team Viewtiful,Unknown,Unknown
Prolific Publishing,Unknown,Unknown
LAB Rats Games,Unknown,Unknown
Acclaim,Unknown,Unknown
Vicious Cycle Software,Unknown,Unknown
Skyworks Interactive,Unknown,Unknown
Little Stone Software,Unknown,Unknown
King Records,Japan,1931
Ascaron Entertainment,Germany,1992
cdv Software Entertainment,Germany,2000
Endgame Studios,Australia,Unknown
Nikko,Unknown,Unknown
Tose Software,Unknown,Unknown
Namco Network,Unknown,Unknown
AMA Studios,Unknown,Unknown
Ignition Entertainment,Unknown,Unknown
Vanillaware,Japan,2002
Marvelous Entertainment,Japan,1997
Magenta Software,United Kingdom of Great Britain and Northern Ireland,Unknown
EA Japan,Unknown,Unknown
Intelligent Games,Unknown,Unknown
Creation,Unknown,Unknown
Barbie Software for Girls,Unknown,Unknown
Mattel Media,United States of America,1996
ColdWood Interactive,Sweden,Unknown
Quintet,Japan,1989
Vision Universe,Japan,1977
PAM Development,France,1995
Team .366,Unknown,Unknown
Spicy Horse Games,China,2007
BEC,Japan,1990
ACQUIRE Corp.,Japan,1994
Infogrames North America,Unknown,Unknown
Overkill Software,Sweden,2009
Midway Studios Austin,Unknown,Unknown
Aksys Games,United States of America,2006
PQube,United Kingdom of Great Britain and Northern Ireland,2009
N3V Games,Australia,Unknown
"H2 Interactive Co., Ltd.",Unknown,Unknown
NAMCO BANDAI Games America Inc.,Unknown,Unknown
Funcom,Norway,1993
Bunkasha,Unknown,Unknown
Nippon Ichi Software,Japan,1991
Digital Illusions CE,Sweden,1993
SouthEnd Interactive,Sweden,1998
Neverland,Unknown,Unknown
Vast Fame,Unknown,Unknown
Etranges Libellulles,Unknown,Unknown
Tomy Corporation,Unknown,Unknown
Relic Entertainment,Canada,1997
Anchor Inc,Unknown,Unknown
Racjin,Japan,1995
Awesome Studios,Unknown,Unknown
Bullets Co. Ltd.,Japan,2004
nFusion Interactive,Unknown,Unknown
Japan Art Media,Unknown,Unknown
Kadokawa Shoten,Japan,2003
Entertainment Software Publishing Inc.,Unknown,Unknown
Working Designs,United States of America,1986
SoMoGa,Unknown,Unknown
Deep Space,Unknown,Unknown
Enterbrain,Unknown,Unknown
Inti Creates,Japan,1996
Frima Studio,Canada,Unknown
Big Bang,Unknown,Unknown
Winkysoft,Unknown,Unknown
Brain Toys,Unknown,Unknown
Paramount Digital Entertainment,United States of America,1993
Big Head Games,United Kingdom of Great Britain and Northern Ireland,Unknown
Mobius Entertainment,United Kingdom of Great Britain and Northern Ireland,1997
"Spectrum HoloByte, Inc.",United States of America,1983
Pixel Tales,Sweden,2004
Nuevo Retro Games,Unknown,Unknown
Yager Development,Germany,1999
Missing Link Games,United States of America,Unknown
Square Enix Product Development Division 6,Japan,2003
KISS ltd,United Kingdom of Great Britain and Northern Ireland,2013
Funbox Media,Unknown,Unknown
"Epoch Co., Ltd.",Unknown,Unknown
Metro Graphics,Unknown,Unknown
Rakish,Unknown,Unknown
Cing,Japan,1999
Vivendi Universal,France,2001
Inevitable Entertainment,Unknown,Unknown
Destineer,United States of America,2000
Digital Embryo,Unknown,Unknown
Red Company,Japan,1976
Sega CS2 R&D,Unknown,Unknown
Akella,Russian Federation,1993
Human Entertainment,Unknown,Unknown
Sega CS3,Unknown,Unknown
Sega Games,Japan,2015
Keen Games,Germany,2005
Mediaquest,Unknown,Unknown
Buka Entertainment,Russian Federation,Unknown
Bungie West,Unknown,Unknown
MiST Land,Unknown,Unknown
Evolved Games,Unknown,Unknown
Vivarium,Unknown,Unknown
Ubisoft Japan,Unknown,Unknown
Machatin,Japan,2000
Ocean Software,United Kingdom of Great Britain and Northern Ireland,1984
Infogrames Entertainment,Unknown,Unknown
X-Ample Architectures,Unknown,Unknown
Deck13 Interactive,Germany,2001
T&E Soft,Japan,1982
Square Product Development Division 6,Japan,1997
NIS Europe,Unknown,Unknown
UFO Interactive Software,Unknown,Unknown
BAM! Entertainment,United States of America,1999
Daybreak Game Company,United States of America,2015
Realtime Associates,United States of America,1986
Digital Eclipse Software,Unknown,Unknown
"Imagineering, Inc.",Unknown,Unknown
THQ Studio Oz,Unknown,Unknown
Viacom New Media,United States of America,1994
Universal Interactive,United States of America,1994
Toy Headquarters,Unknown,Unknown
DTP Entertainment,Germany,1995
Sproing Interactive Media,Austria,2001
Barking Lizards Technologies,United States of America,2001
Contraband Entertainment,Unknown,Unknown
Eugen Systems,France,Unknown
"indieszero Co., Ltd.",Japan,1997
Quest,Japan,1988
AM1,Unknown,Unknown
"SIMS Co., Ltd",Japan,1991
Jaleco,Japan,1974
Kuusou Kagaku,Unknown,Unknown
"ASCII Entertainment Software, Inc.",Unknown,Unknown
HandMade Games,Unknown,Unknown
THQ Studio Australia,Unknown,Unknown
Xeen,Japan,2006
SCS Software,Czechia,1997
Sega Entertainment,United States of America,1996
DreamRift,United States of America,2009
Humongous Entertainment,United States of America,1992
Spiral House,United Kingdom of Great Britain and Northern Ireland,1998
Namco Limited,Unknown,Unknown
City Interactive S.A.,Poland,Unknown
Vitei,Unknown,Unknown
GungHo Works,Unknown,Unknown
Pocketeers,United Kingdom of Great Britain and Northern Ireland,2002
WXP Inc,United States of America,1995
Noviy Disk,Russian Federation,1997
Zoo Corporation,Japan,1986
Totally Games,United States of America,1993
Victor Interactive Software,Japan,1996
Toy Box Studios,Unknown,Unknown
Pack-In-Soft,Japan,1996
Gust,Japan,1993
Psyclone,Unknown,Unknown
WizarBox,France,2004
Ratbag Games,Unknown,Unknown
Ultravision Inc.,Unknown,Unknown
Étranges Libellules,France,1994
NEW Corporation,Japan,1991
Beyond Games,United States of America,1992
Midway Studios Newcastle,Unknown,Unknown
Make Software,Japan,1988
Titus France,France,1985
Imagineer Interactive,Japan,1995
FASA Interactive,Unknown,Unknown
Sniper Studios,Unknown,Unknown
Gratuitous Games,Unknown,Unknown
Bandai Namco Entertainment America,United States of America,2015
Shin'en,Germany,1999
Team Tachyon,Japan,Unknown
Software Creations,United Kingdom of Great Britain and Northern Ireland,1985
Vatra Games,Czechia,2009
NovaLogic,United States of America,1985
Amaze,Unknown,Unknown
Ape,Japan,1989
Meyer / Glass Interactive,Unknown,Unknown
Tigon Studios,Unknown,Unknown
Cartoon Network Interactive,Unknown,Unknown
Treasure,Japan,Unknown
Viz Media,Unknown,Unknown
Shonen Jump,Unknown,Unknown
James Software,Unknown,Unknown
Home Entertainment Suppliers Pty Ltd,Unknown,Unknown
Ricochet,Unknown,Unknown
Proein,Spain,1992
Dro Soft,Spain,1984
Fargus Multimedia,Russian Federation,1996
Ivolgamus,Unknown,Unknown
TecToy,Brazil,Unknown
Underground Development,Unknown,Unknown
Syfy Games,Unknown,Unknown
SNK,Japan,1978
Magical Company,Unknown,Unknown
Creative Patterns,Unknown,Unknown
Studio Gigante,Unknown,Unknown
Wideload Games,United States of America,2003
Double Helix Games,United States of America,2007
Beast Studios,Unknown,Unknown
Computer Artworks,Unknown,Unknown
Megatube,Unknown,Unknown
Two Tribes B.V.,"Netherlands, Kingdom of the",2001
Centropolis Entertainment,Unknown,Unknown
Semi Logic Entertainments,Unknown,Unknown
Cave+Barn Studios,Unknown,Unknown
Q Entertainment,Japan,2003
Tetris Online Inc,Unknown,Unknown
Compile Heart,Japan,2006
Idea Factory,Japan,1994
Sensory Sweep Studios,Unknown,Unknown
"Mobile & Game Studio, Inc.",Japan,Unknown
Toybox Inc.,Unknown,2011
Sunrise Interactive,Unknown,Unknown
Game Machine Studios,Unknown,Unknown
Digital Kids,Unknown,Unknown
Infrogrames,Unknown,Unknown
Aspect,Japan,1991
Def Jam,Unknown,Unknown
Big Ant Studios,Australia,Unknown
Obigeta Makers,Unknown,Unknown
Hip Games,Unknown,Unknown
Success Corporation,Japan,1978
Entertainment Software Publishings,Unknown,Unknown
RedLynx,Finland,2000
Phoenix,Unknown,Unknown
Nintendo IRD,Japan,2000
KCE,Unknown,Unknown
GameStar,Unknown,Unknown
Capcom Europe,Unknown,Unknown
Bluehole Studio,"Korea, Republic of",2007
En Masse Entertainment,Unknown,Unknown
Gameforge,Germany,2003
Nexon,Japan,1994
NHN PlayArt,Unknown,Unknown
Lucas Arts,Unknown,Unknown
Nintendo EPD,Japan,2015
Sega AM5,Unknown,Unknown
Smilebit,Japan,2000
Halfbrick Studios,Australia,2001
Knowledge Adventure,United States of America,1991
Papyrus Design Group,Unknown,Unknown
Millennium Kitchen,Unknown,Unknown
Dual Corporation,Unknown,Unknown
Cohort Studos,United Kingdom of Great Britain and Northern Ireland,Unknown
Bandai Namco Entertainment Europe,United Kingdom of Great Britain and Northern Ireland,2015
Cunning Developments,Unknown,Unknown
Dingo,Unknown,Unknown
THQ San Diego,Unknown,Unknown
Red Zero Games,Unknown,Unknown
DON'T NOD,France,2008
MuuMuu,Unknown,Unknown
Kuju Entertainment,United Kingdom of Great Britain and Northern Ireland,1998
JVC,Japan,1927
BMG Interactive Entertainment,Unknown,Unknown
Japan Home Video Co.,Unknown,Unknown
Saurus,Unknown,1993
System Vision,Unknown,Unknown
Monolith Corp.,Unknown,Unknown
D4 Enterprise,Unknown,Unknown
Boss Game Studios,Unknown,Unknown
Kemco,Japan,1984
"GungHo Online Entertainment, Inc.",Japan,2002
Twisted Pixel Games,Unknown,Unknown
Jet Black Games,Canada,Unknown
Berkeley Systems,United States of America,1987
Starsphere Interactive,Unknown,Unknown
Atelier Double,Japan,1986
Zen Studios,Hungary,2000
Sidhe Interactive,New Zealand,Unknown
Valcon Games,Unknown,Unknown
Frogwares,Ukraine,2000
Marvelous,Japan,2014
Marvelous Europe Ltd.,United Kingdom of Great Britain and Northern Ireland,2012
WOW Entertainment,Japan,2000
SEGA AM1,Unknown,Unknown
Namco Bandai Games America,Unknown,Unknown
Zenimax Europe,Unknown,Unknown
Tirnanog,Unknown,Unknown
Noise,Unknown,Unknown
Sega Studios San Francisco,Unknown,Unknown
Mindscape,"Netherlands, Kingdom of the",1983
The Fizz Factor,Unknown,Unknown
Milestone,Italy,1994
Redtribe,Unknown,Unknown
Amuze,Sweden,1996
Strategy First,Canada,1990
Firemint Pty,Unknown,Unknown
Buena Vista Interactive,Unknown,Unknown
Climax Handheld Games,Unknown,Unknown
AMD,Unknown,Unknown
7seventh chord,Unknown,Unknown
Robot Entertainment,United States of America,2009
Crafts & Meister,Japan,2004
Solid,Japan,1994
Blueside,"Korea, Republic of",2003
Team Andromeda,Japan,1994
Cauldron HQ,Slovakia,1996
Terraglyph Interactive Studios,United States of America,1994
Square Enix Business Division 4,Japan,2013
Panic Button Games,United States of America,2007
Psyonix,United States of America,2000
VU Games,Unknown,Unknown
Playbox,Unknown,Unknown
Genki Co. Ltd.,Unknown,Unknown
Smack Down Productions,Unknown,Unknown
Zombie Studios,United States of America,2004
W!Games,Unknown,Unknown
Zener Works Inc.,Unknown,Unknown
H2O Entertainment,Unknown,Unknown
Alexey Pajitnov,Unknown,Unknown
Unique Development Studios,Sweden,1993
Games Farm,Slovakia,2001
Leguna,Unknown,Unknown
B.B. Studio,Japan,1994
Cattle Call,Japan,1998
Sandlot,Unknown,Unknown
Hypnotix,Unknown,Unknown
Airtight Games,United States of America,2004
Cost,Unknown,Unknown
Deep Silver Dambuster Studios,United Kingdom of Great Britain and Northern Ireland,2014
Toylogic,Japan,2006
Y'sk,Unknown,Unknown
Toontraxx,Unknown,Unknown
Zuxxes,Unknown,Unknown
Frontline Studios,Unknown,Unknown
Funbox Media Ltd,Unknown,Unknown
Calaris Studios,Poland,1993
Brash Entertainment,Unknown,Unknown
Dorasu Co.,Unknown,Unknown
Swingin' Ape Studios,United States of America,2000
FX Interactive,Spain,1999
Haemimont Games,Bulgaria,1997
Kalypso Media,Germany,2006
Studio Alex,Japan,1990
Nadeo,France,2000
Human Soft Inc.,Unknown,Unknown
ImPulse Games,Unknown,Unknown
Sennari Interactive,United States of America,2000
Gas Powered Games,Unknown,Unknown
AGENDA,Unknown,Unknown
Infinite Interactive,Australia,Unknown
Square Enix Business Division 9,Japan,2013
Powerhead Games,Unknown,Unknown
JoshProd,Unknown,Unknown
Asylum Studios,Unknown,Unknown
Ion Storm,United States of America,1996
SNK Playmore,Japan,2003
Smart Bomb Interactive,United States of America,Unknown
Namcot,Japan,1984
Digital Frontier,Unknown,Unknown
Studio Ibuki,Unknown,Unknown
G1M2,Unknown,Unknown
Nick Games,Unknown,Unknown
Hydravision Entertainment,Unknown,Unknown
Seaven Studio,France,Unknown
Hitmen Productions,Unknown,Unknown
4mm Games,Unknown,Unknown
System 3 Software,United Kingdom of Great Britain and Northern Ireland,1982
CI Games,Poland,2002
Black Hole Entertainment,Hungary,2001
Limbic Entertainment,Germany,2002
Eidos Hungary,Hungary,2006
Zoo Publishing,Unknown,Unknown
Riverhillsoft,Japan,1982
SouthPeak Games,Unknown,Unknown
Crypton Future Media,Japan,1995
Konami Computer Entertainment Hawaii,United States of America,1997
Hijinx Studios,United States of America,2008
SkyZone Entertainment,Unknown,Unknown
Venom Games,United Kingdom of Great Britain and Northern Ireland,2003
icculus.org,Unknown,Unknown
MachineWorks Northwest,United States of America,Unknown
Gaia,Unknown,Unknown
"Rocket Studio, Inc.",Japan,1999
Codefire,Unknown,Unknown
Access,Japan,1990
Zoo Games,Unknown,Unknown
Phantagram,"Korea, Republic of",1994
Zushi Games,United Kingdom of Great Britain and Northern Ireland,1999
Rutubo Games,Japan,2010
Amazing Studio,Unknown,Unknown
TYPE-MOON,Japan,1998
Imageepoch,Japan,2005
Avanquest Software Publishing Ltd,Unknown,Unknown
Namco Bandai America,Unknown,Unknown
NewKidCo,Unknown,Unknown
Big Red Button,Unknown,Unknown
Tarantula Studios,Unknown,Unknown
Wildfire Studios,Australia,1995
Mumbo Jumbo,Unknown,Unknown
Hot Lava Games,Russian Federation,2005
rondomedia Marketing & Vertriebs GmbH,Germany,1998
Gear Head Studios,Unknown,Unknown
Tru Blu Entertainment,Unknown,Unknown
Piko Interactive,United States of America,2013
Mucky Foot Productions,United Kingdom of Great Britain and Northern Ireland,1997
Humagade,Unknown,Unknown
Ronin Entertainment,Unknown,Unknown
Shade,Japan,Unknown
ESP,Unknown,Unknown
In-Fusio,France,1998
BeTomorrow,Unknown,Unknown
TDK,Unknown,Unknown
"Ultra Co., Ltd.",Unknown,Unknown
Exact,Unknown,Unknown
Capcom Production Studio 6,Unknown,Unknown
MiCROViSion,Unknown,Unknown
Microcabin,Unknown,Unknown
J.P.Room Recordings,Unknown,Unknown
"Banpresto Co., Ltd.",Unknown,Unknown
Softmax,Unknown,Unknown
Raster Productions,Unknown,Unknown
Graphic State Games,Unknown,Unknown
Paragon 5,Unknown,Unknown
J-Force,Unknown,Unknown
"Sega Enterprises, Inc.",United States of America,1974
Aquria,Japan,2002
Hyperspace Cowgirls,Unknown,Unknown
Artificial Mind and Movement,Unknown,Unknown
Headlock,Unknown,Unknown
Diamond Head,Unknown,Unknown
Simon & Schuster,Unknown,Unknown
Altron Corporation,Unknown,Unknown
Studio Saizensen,Unknown,Unknown
Warner Bros. Games,Unknown,Unknown
Double Tap,Unknown,Unknown
Six by nine,Unknown,Unknown
MBL Research,Unknown,Unknown
Transmission Games,Unknown,Unknown
Pipeworks Studios,United States of America,1999
LightBox Interactive,Unknown,Unknown
1C Company,Unknown,Unknown
GameBrains,Unknown,Unknown
Global Entertainment R&D Dept. 2,Unknown,Unknown
Circus Freak,Unknown,Unknown
Whoopee Camp,Japan,1997
MonkeyPaw Games,Unknown,Unknown
Kinesoft,Unknown,Unknown
Game Titan,Unknown,Unknown
DokiDenki Studio,Unknown,Unknown
Sacnoth,Japan,1997
Bandai Namco Entertainment America Inc.,Unknown,Unknown
Larian Studios,Belgium,1996
Tigervision,Unknown,Unknown
CAVE Interactive,Japan,1994
Avanquest,Unknown,Unknown
Warthog Games,United Kingdom of Great Britain and Northern Ireland,1997
Just Add Monsters,Unknown,Unknown
Red Mile Entertainment,United States of America,2004
Japan System House,Japan,1987
Redline Games,Unknown,Unknown
"Majesco Sales, Inc",Unknown,Unknown
Volatile Games,Unknown,Unknown
UTV Ignition Entertainment,Unknown,Unknown
Ignition Tokyo,Unknown,Unknown
SETA,Unknown,Unknown
Creature Labs,Unknown,Unknown
Midas Interactive Entertainment,"Netherlands, Kingdom of the",1998
ZOOM,Japan,Unknown
ELF Corporation,Unknown,1989
Other Ocean Interactive,Canada,2006
MacPlay,Unknown,Unknown
Presto Studios,United States of America,1992
Lancarse,Unknown,Unknown
"Datasoft, Inc.",United States of America,1980
Unimex,Unknown,Unknown
Dynacom,Unknown,Unknown
Home Vision,Unknown,Unknown
Gem International Corp.,Unknown,Unknown
Quelle,Unknown,Unknown
Copper Black,Unknown,Unknown
Digivision,Brazil,Unknown
Bit Corporation,"Taiwan, Province of China",1982
