Developer,Country,Year_of_Establishment
Tecmo Koei Games,Unknown (ID: None),Unknown
Iguana Entertainment,United States of America,1991
Appaloosa Interactive,Hungary,1982
Banpresto,Japan,1989
Capcom Japan,Unknown (ID: None),Unknown
Day 1 Studios,Unknown (ID: None),Unknown
ASCII Entertainment,Unknown (ID: None),Unknown
ParityBit,Unknown (ID: None),Unknown
Nintendo EPD Production Group No. 3,Japan,2015
SRD,Unknown (ID: None),Unknown
Paradigm Simulation,Unknown (ID: None),Unknown
Ubisoft San Francisco,United States of America,2009
CS1 Team,Unknown (ID: None),Unknown
NIS America,United States of America,2003
Atlus USA,United States of America,1991
BioWare Mythic,United States of America,2009
Mesopotamia Software,Unknown (ID: None),Unknown
Ritual Entertainment,United States of America,1996
Atari Corporation,United States of America,1984
Acclaim Japan,Unknown (ID: None),Unknown
Iguana UK,Unknown (ID: None),Unknown
G-Craft,Japan,1994
MercurySteam,Spain,2002
PopCap Games,United States of America,2000
SUNSOFT,Japan,1978
Bandai Namco Holdings,Japan,2005
Ryu ga Gotoku Studios,Japan,2011
EA Salt Lake,United States of America,1992
Taito GM R&D Sect. #2,Japan,Unknown
BigSky Interactive Inc.,Unknown (ID: None),Unknown
Agetec,Unknown (ID: None),Unknown
Square Enix Business Division 5,Japan,2013
Blind Squirrel Games,United States of America,2010
Bomber eXpress,Japan,Unknown
Lexis Numerique,France,1990
Eidos Interactive Europe,Unknown (ID: None),Unknown
Just Games Interactive,United States of America,2002
Maxis Software,Unknown (ID: None),Unknown
Chat Noir,Unknown (ID: None),Unknown
FreeStyleGames,Unknown (ID: None),Unknown
Imagineer,Japan,1986
Russobit-M,Russian Federation,1999
Team17,United Kingdom of Great Britain and Northern Ireland,1990
"MicroProse Software, Inc.",United States of America,1982
Acer TWP,Unknown (ID: None),Unknown
Arika,Japan,1995
Barnhouse Effect,Japan,1997
Takara,Japan,1955
"Atlus Co., Ltd",Unknown (ID: None),Unknown
Play It,United Kingdom of Great Britain and Northern Ireland,2003
System 3 Software Ltd.,Unknown (ID: None),Unknown
INTAC,Unknown (ID: None),Unknown
Pole To Win,Unknown (ID: None),Unknown
Vigil Games,United States of America,2005
Z-Axis Ltd.,Unknown (ID: None),Unknown
Sega AM3,Japan,1993
Wolf Team,Japan,1986
Square Enix London Studios,United Kingdom of Great Britain and Northern Ireland,2009
Tomy,Japan,1924
8ing,Unknown (ID: None),Unknown
Raizing,Japan,1993
SCE Studio Liverpool,United Kingdom of Great Britain and Northern Ireland,2001
Tantalus Media,Australia,1994
Avanquest Software,Unknown (ID: None),Unknown
Bigbig Studios,United Kingdom of Great Britain and Northern Ireland,2001
Dreamworks Interactive,United States of America,1995
Longtail Studios,Unknown (ID: None),Unknown
AiLive,Unknown (ID: None),Unknown
Hyde,Unknown (ID: None),Unknown
Razorworks Studios,Unknown (ID: None),Unknown
Zonic Limited,United Kingdom of Great Britain and Northern Ireland,1996
Sammy Studios,United States of America,2002
Free Radical Design,United Kingdom of Great Britain and Northern Ireland,1999
DreamFactory,Japan,1995
Playlogic Entertainment,Unknown (ID: None),Unknown
Access Games,Japan,2002
Incinerator Studios,Unknown (ID: None),Unknown
Tantalus Interactive,Australia,1994
HexaDrive,Japan,2007
Square Enix Business Division 2,Japan,2013
Bullet-Proof Software,Japan,1983
Double Fine Productions,United States of America,2000
Square Enix Business Division 6,Japan,2013
Giants Software,Switzerland,Unknown
Blue Tongue Entertainment,Australia,1995
BlitWorks,Spain,2012
Overworks,Japan,2000
"SCEE QA, Liverpool",Unknown (ID: None),Unknown
Monster Games,United States of America,1996
Coresoft,Unknown (ID: None),Unknown
Oxygen Games,United Kingdom of Great Britain and Northern Ireland,2001
SuperBot Entertainment,Unknown (ID: None),Unknown
Torus Games,Australia,1994
Junction Point,Unknown (ID: None),Unknown
Media.Vision,Japan,1993
Q-Games Ltd.,Japan,2001
Robomodo,United States of America,2008
The Game Factory,Denmark,2004
Neko Entertainment,France,1999
Pastagames,France,2000
Behaviour Santiago,Chile,2010
Titus Software,France,Unknown
Digital Integration,United Kingdom of Great Britain and Northern Ireland,1982
Mastiff,United States of America,Unknown
ImaginEngine,United States of America,1994
Mattel,United States of America,1945
South Park Digital Studios,Unknown (ID: None),Unknown
Sculptured Software,United States of America,1985
Prope,Japan,Unknown
Mind's Eye,Unknown (ID: None),Unknown
Mistwalker,Japan,2004
Marvelous AQL,Japan,2011
Marvelous AQL Europe,United Kingdom of Great Britain and Northern Ireland,2012
Genki,Japan,1990
Interactive Studios,Unknown (ID: None),Unknown
Koei Tecmo,Japan,2009
Mud Duck Productions,United States of America,2002
Atomic Planet Entertainment,Unknown (ID: None),Unknown
Vir2L Studios,Unknown (ID: None),Unknown
Feelplus,Unknown (ID: None),1992
Looking Glass Studios,United States of America,1990
Warner Bros. Entertainment Inc.,United States of America,1923
Lightstorm Entertainment,Unknown (ID: None),Unknown
20th Century Fox Games,Unknown (ID: None),Unknown
Electronic Arts UK,Unknown (ID: None),Unknown
Telltale Games,United States of America,2004
Red Entertainment,Japan,2000
Artdink,Japan,1986
Mojang Studios,Sweden,2009
TNX,Unknown (ID: None),Unknown
ak tronic,Unknown (ID: None),Unknown
Mad Catz,Unknown (ID: None),Unknown
Kush Games,United States of America,2005
Armature Studio,United States of America,2008
FASA Studio,Unknown (ID: None),Unknown
Runecraft,United Kingdom of Great Britain and Northern Ireland,1997
TalonSoft,United States of America,1995
Beam Software,Australia,1980
38 Studios,United States of America,2006
Big Huge Games,United States of America,2000
Alfa System,Japan,Unknown
Pinnacle Software,Unknown (ID: None),Unknown
Asylum Entertainment,United Kingdom of Great Britain and Northern Ireland,1998
Shaba Games,Unknown (ID: None),Unknown
Reactor Zero,Unknown (ID: None),Unknown
Black Lantern Studios,Unknown (ID: None),Unknown
Rage Software,United Kingdom of Great Britain and Northern Ireland,1992
HME Inc,Unknown (ID: None),Unknown
Toolbox Design,Unknown (ID: None),Unknown
MotiveTime Ltd,Unknown (ID: None),Unknown
3DO,Unknown (ID: None),Unknown
Saffire,United States of America,1994
Game Refuge Inc,Unknown (ID: None),Unknown
Midway Amusement Games,Unknown (ID: None),Unknown
Ganbarion,Japan,1999
Bandai Namco Games,Japan,2014
Bandai Namco Studios,Japan,2014
Threewave Software,Unknown (ID: None),Unknown
(Archive) Ubisoft US,Unknown (ID: None),Unknown
MTO,Unknown (ID: None),Unknown
Ubisoft US,Unknown (ID: None),Unknown
Climax Brighton,United Kingdom of Great Britain and Northern Ireland,1999
Darkblack,United Kingdom of Great Britain and Northern Ireland,1998
Eutechnyx,United Kingdom of Great Britain and Northern Ireland,1996
Raylight Studios,Unknown (ID: None),Unknown
Artech Studios,Canada,1982
Global VR,Unknown (ID: None),Unknown
Triptych Games,Unknown (ID: None),Unknown
Piranha Games,Canada,2000
Digital Anvil,United States of America,1996
Virgin Interactive Entertainment (Europe) Ltd.,United Kingdom of Great Britain and Northern Ireland,1983
CE Europe Ltd.,Unknown (ID: None),Unknown
SIE Santa Monica Studio,United States of America,2016
Marvelous Interactive,Japan,1970
Rising Star Games,United Kingdom of Great Britain and Northern Ireland,2004
Salt Lake Games Studio,United States of America,2000
Midway Chicago,Unknown (ID: None),Unknown
Tiger Hill Entertainment,Unknown (ID: None),Unknown
Evolution Games,Unknown (ID: None),Unknown
Ubisoft Australia,Australia,Unknown
Pipeline Software,Unknown (ID: None),Unknown
NeoBards Entertainment,"Taiwan, Province of China",2017
Midway Home Entertainment,Unknown (ID: None),Unknown
Square Enix Product Development Division 3,Japan,1996
Delphine Software,France,1988
Monkey Bar Games,Unknown (ID: None),Unknown
Guerrilla Cambridge,United Kingdom of Great Britain and Northern Ireland,2013
Telenet Japan,Unknown (ID: None),Unknown
Lucasfilm Animation Singapore,Singapore,2004
Deibus Studios,Unknown (ID: None),Unknown
On Deck Interactive,Unknown (ID: None),Unknown
Kodiak Interactive,Unknown (ID: None),Unknown
1C-SoftClub,Russian Federation,1994
4th Kernel Studios,Unknown (ID: None),Unknown
Code Mystics,Unknown (ID: None),Unknown
Sprung Studios,Canada,2005
Square Enix Product Development Division 10,Japan,2003
Novarama,Spain,2003
Silicon Knights,Canada,1992
Digital Illusions CE: Canada,Canada,Unknown
Agatsuma,Unknown (ID: None),Unknown
"Nerve Software, LLC",United States of America,2001
TimeGate Studios,United States of America,1998
iNiS,Japan,Unknown
High Score Entertainment,Unknown (ID: None),Unknown
Press Start Inc.,Unknown (ID: None),Unknown
Sega of America,United States of America,1986
Sega Europe,United Kingdom of Great Britain and Northern Ireland,1991
Nihilistic Software,United States of America,1998
David A. Palmer Productions,Unknown (ID: None),Unknown
Polygon Magic,Japan,1996
Capcom Production Studio 8,United States of America,2000
Nobilis,Unknown (ID: None),Unknown
Hands-On Mobile,Unknown (ID: None),Unknown
Square Osaka Development Department,Japan,1990
Value Wave,Unknown (ID: None),Unknown
Game Republic Inc.,Japan,2003
Atari Games,United States of America,1984
Climax Studios,United Kingdom of Great Britain and Northern Ireland,2008
Le Cortex,Unknown (ID: None),Unknown
Ubisoft Casablanca,Morocco,1998
Touchstone Games,Unknown (ID: None),Unknown
Propaganda Games,Canada,2005
Pacific Coast Power & Light,United States of America,1997
"TOSE Co., Ltd.",Unknown (ID: None),Unknown
Square Enix Product Development Division 8,Japan,2003
Extended Play Productions,Unknown (ID: None),Unknown
Arc System Works,Japan,1988
Zen United,Unknown (ID: None),Unknown
Keita Takahashi,Unknown (ID: None),Unknown
Dearsoft,Unknown (ID: None),Unknown
Little Worlds Studio,Unknown (ID: None),Unknown
Anuman Interactive,France,2000
Mesa Logic,Unknown (ID: None),Unknown
Time Warner Interactive,United States of America,1994
Perfect Entertainment,Unknown (ID: None),Unknown
Cryo Interactive,France,1992
P Studio,Japan,2012
Midway Studios Los Angeles,United States of America,1994
Studio Gobo,United Kingdom of Great Britain and Northern Ireland,Unknown
Realism,Unknown (ID: None),Unknown
Agora Games,United States of America,Unknown
Humansoft,Unknown (ID: None),Unknown
XS Games,Unknown (ID: None),Unknown
Jester Interactive,Unknown (ID: None),Unknown
SUCCESS Corp.,Unknown (ID: None),Unknown
AWE Games,United States of America,1997
Lego Media,Unknown (ID: None),Unknown
Tamsoft,Japan,1992
Playmates Interactive Entertainment,Unknown (ID: None),Unknown
TopWare Interactive,Germany,1995
Reality Pump,Poland,1995
The Bitmap Brothers,United Kingdom of Great Britain and Northern Ireland,1987
Hip Interactive,United States of America,1995
Attitude Studios,Unknown (ID: None),Unknown
Majesco Sales,Unknown (ID: None),Unknown
Virtucraft,Unknown (ID: None),Unknown
Pipedream Interactive,Unknown (ID: None),Unknown
Atari Interactive,United States of America,1998
Illusion Softworks,Czechia,1997
"SIMS Co., Ltd.",Unknown (ID: None),Unknown
SIMS,Japan,1991
A2M,Unknown (ID: None),Unknown
Mortal Kombat Team,Unknown (ID: None),Unknown
Midway Studios San Diego,United States of America,Unknown
Fuse Games,Unknown (ID: None),Unknown
