,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1006,PS,1998.0,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6,,,,,,
1007,Wii,2009.0,Strategy,Nintendo,0.11,0.13,0.33,0.02,0.6,,,,,Nintendo,Three
1008,SNES,1995.0,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6,,,,,,
1009,Wii,2008.0,Platform,Nintendo,0.23,0.17,0.14,0.05,0.6,,,,,Nintendo,E10
1010,PSP,2009.0,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,,,,,Gameloft,Twelve
1011,PS2,2003.0,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6,,,,,,
1012,X360,2005.0,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6,,,,,Microsoft Game Studios,E10
1013,PS2,2005.0,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59,,,,,,
1014,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59,,,,,,
1015,PS,1998.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59,,,,,,
1016,PS,2001.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,,,,,,
1017,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59,,,,,,
1018,2600,1981.0,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59,,,,,,
1019,2600,1981.0,Action,Coleco,0.55,0.03,0.0,0.01,0.59,,,,,,
1020,X360,2008.0,Sports,Sega,0.15,0.38,0.0,0.07,0.59,,,,,Sega,E
1021,DS,2005.0,Puzzle,Nintendo,0.25,0.0,0.31,0.02,0.59,,,,,Nintendo,E
1022,N64,1997.0,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59,,,,,Acclaim Entertainment,E
1023,N64,1999.0,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59,,,,,Midway,T
1024,DS,2007.0,Misc,505 Games,0.54,0.0,0.0,0.04,0.59,,,,,Crave Entertainment,E
1025,PS2,2004.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59,,,,,Namco Tales Studio,GRAC_ALL
1026,PS,1999.0,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,,,,,Barbie Software for Girls,E
1027,PS3,2010.0,Shooter,Square Enix,0.17,0.27,0.05,0.1,0.59,,,,,IO Interactive,Eighteen
1028,PS2,2003.0,Sports,Atari,0.29,0.22,0.0,0.07,0.59,,,,,,
1029,SNES,1994.0,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59,,,,,,
1030,PS,1995.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.58,,,,,Konami,
1031,PS,1997.0,Role-Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.58,,,,,,
1032,2600,1982.0,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58,,,,,,
1033,Wii,2008.0,Misc,Disney Interactive Studios,0.31,0.23,0.0,0.04,0.58,,,,,,
1034,X360,2012.0,Racing,Sega,0.2,0.33,0.0,0.05,0.58,,,,,Sega,Seven
1035,Wii,2010.0,Misc,THQ,0.55,0.0,0.0,0.04,0.58,,,,,THQ,E
1036,X360,2010.0,Shooter,Activision,0.38,0.15,0.0,0.05,0.58,,,,,,
1037,PS,2000.0,Sports,3DO,0.32,0.22,0.0,0.04,0.58,,,,,The 3DO Company,E
1038,N64,1998.0,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58,,,,,Konami,E
1039,N64,1997.0,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58,,,,,EA Canada,E
1040,N64,1998.0,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,,,,,EA Canada,E
1041,PS,1998.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.58,,,,,Wolf Team,
1042,PS2,2004.0,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58,,,,,Monolith Soft,Twelve
1043,PS,1998.0,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58,,,,,Eidos Interactive,E
1044,GBA,2004.0,Adventure,Activision,0.42,0.15,0.0,0.01,0.58,,,,,Activision,E
1045,PS,1998.0,Racing,THQ,0.32,0.22,0.0,0.04,0.58,,,,,,
1046,SNES,1992.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58,,,,,,
1047,SNES,1996.0,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58,,,,,,
1048,Wii,2008.0,Action,Take-Two Interactive,0.52,0.02,0.0,0.04,0.58,,,,,2K Play,E
1049,N64,1999.0,Sports,Midway Games,0.55,0.02,0.0,0.0,0.58,,,,,Infogrames North America,Three
1050,X360,2012.0,Sports,Sega,0.07,0.44,0.0,0.07,0.58,,,,,,
1051,PS,1994.0,Simulation,Electronic Arts,0.24,0.16,0.13,0.04,0.57,,,,,,
1052,PS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,0.54,0.04,0.57,,,,,,
1053,PS,1995.0,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,,,,,Camelot Software Planning,E
1054,DS,2007.0,Action,Capcom,0.24,0.0,0.31,0.02,0.57,,,,,,
1055,Wii,2007.0,Action,Activision,0.5,0.03,0.0,0.05,0.57,,,,,,
1056,NES,1986.0,Action,Nintendo,0.0,0.0,0.57,0.0,0.57,,,,,,
1057,N64,1997.0,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57,,,,,Midway,E
1058,DS,2008.0,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.57,,,,,Marvelous Interactive,E
1059,PS2,2002.0,Misc,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.57,,,tbd,,,
1060,SNES,1992.0,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57,,,,,,
1061,PS2,2002.0,Strategy,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,,,,,Bandai,
1062,PS,2000.0,Action,THQ,0.31,0.21,0.0,0.04,0.57,,,,,,
1063,GBA,2003.0,Action,Universal Interactive,0.4,0.15,0.0,0.01,0.56,,,,,Universal Interactive Studios,E
1064,3DS,2015.0,Role-Playing,Nintendo,0.27,0.14,0.12,0.04,0.56,,,,,,
1065,GBA,2004.0,Misc,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,,,,,Konami,E
1066,PS,1999.0,Action,3DO,0.31,0.21,0.0,0.04,0.56,,,,,,
1067,GBA,2002.0,Sports,Infogrames,0.4,0.15,0.0,0.01,0.56,,,,,,
1068,XOne,2015.0,Adventure,Mojang,0.3,0.21,0.0,0.05,0.56,,,,,Mojang Studios,E10
1069,PS,2000.0,Racing,Electronic Arts,0.31,0.21,0.0,0.04,0.56,,,,,Electronic Arts,E
1070,N64,1999.0,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56,,,,,Capcom,M
1071,SNES,1993.0,Platform,Laguna,0.09,0.02,0.45,0.0,0.56,,,,,,
1072,GB,2001.0,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56,,,,,,
1073,3DS,2016.0,Action,Level 5,0.0,0.0,0.56,0.0,0.56,,,,,,
1074,GBA,2003.0,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56,,,,,Konami,E
1075,SNES,1994.0,Fighting,Takara,0.0,0.0,0.56,0.0,0.56,,,,,,
1076,DS,2008.0,Misc,Nintendo,0.0,0.0,0.56,0.0,0.56,,,,,Nintendo,
1077,PS,1999.0,Sports,Midway Games,0.31,0.21,0.0,0.04,0.55,,,,,Midway,E
1078,XB,2006.0,Action,Electronic Arts,0.42,0.11,0.0,0.02,0.55,,,,,,
1079,SAT,1994.0,Racing,Sega,0.0,0.0,0.55,0.0,0.55,,,,,,
1080,PS,1996.0,Role-Playing,Banpresto,0.0,0.0,0.52,0.04,0.55,,,,,Banpresto,
1081,DS,2005.0,Fighting,Nintendo,0.0,0.0,0.55,0.0,0.55,,,,,Nintendo,
1082,2600,1982.0,Sports,Activision,0.52,0.03,0.0,0.01,0.55,,,,,,
1083,PS,2001.0,Shooter,D3Publisher,0.31,0.21,0.0,0.04,0.55,,,,,Taito,
1084,PS,1999.0,Action,Eidos Interactive,0.31,0.21,0.0,0.04,0.55,,,,,Eidos Interactive,T
1085,SAT,1996.0,Adventure,Sega,0.0,0.0,0.55,0.0,0.55,,,,,,
1086,PS3,2008.0,Platform,Sony Computer Entertainment,0.0,0.52,0.0,0.04,0.55,,,,,Insomniac Games,E10
1087,PS2,2004.0,Sports,Enterbrain,0.0,0.0,0.55,0.0,0.55,,,,,Enterbrain,
1088,Wii,2006.0,Sports,Activision,0.51,0.0,0.0,0.04,0.55,,,,,Activision,E
1089,PS,1996.0,Shooter,LucasArts,0.31,0.21,0.0,0.04,0.55,,,,,LucasArts,T
1090,PS3,2015.0,Action,Warner Bros. Interactive Entertainment,0.17,0.3,0.0,0.09,0.55,,,6.4,18.0,Traveller's Tales,E10
1091,PS4,2014.0,Action,Activision,0.2,0.25,0.02,0.09,0.55,,,,,Activision,USK_12
1092,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.51,0.04,0.55,,,,,Bandai,
1093,SAT,1997.0,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55,,,,,Banpresto,
1094,PS2,2002.0,Sports,Sega,0.0,0.0,0.55,0.0,0.55,,,,,,
1095,PSP,2008.0,Platform,Sony Computer Entertainment,0.33,0.22,0.0,0.0,0.55,,,,,,
1096,GBA,2001.0,Action,THQ,0.39,0.15,0.0,0.01,0.55,,,,,Climax Group,E
1097,SAT,1998.0,Strategy,Banpresto,0.0,0.0,0.55,0.0,0.55,,,,,,
1098,Wii,2008.0,Action,Activision,0.31,0.18,0.0,0.05,0.55,,,,,Amaze Entertainment,E
1099,PS,1995.0,Fighting,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55,,,,,Midway Games,M
1100,PC,2015.0,Shooter,Electronic Arts,0.13,0.38,0.0,0.04,0.55,,,,,,
1101,Wii,2010.0,Misc,505 Games,0.26,0.24,0.0,0.05,0.55,,,,,505 Games,E10
1102,DS,2007.0,Platform,Nintendo,0.25,0.03,0.24,0.03,0.55,,,,,Paon,E
1103,PS,1996.0,Misc,Microprose,0.3,0.21,0.0,0.04,0.55,,,,,"Spectrum HoloByte, Inc.",E
1104,PS2,2008.0,Misc,Sony Computer Entertainment,0.0,0.06,0.0,0.48,0.54,,,,,SCE London Studio,
1105,XB,2006.0,Sports,Electronic Arts,0.16,0.35,0.0,0.04,0.54,,,,,EA Canada,E
1106,PS2,2000.0,Sports,SquareSoft,0.0,0.0,0.54,0.0,0.54,,,,,,
1107,GB,1999.0,Role-Playing,Imagineer,0.0,0.0,0.54,0.0,0.54,,,,,,
1108,GBA,2003.0,Platform,THQ,0.39,0.14,0.0,0.01,0.54,,,,,,
1109,DS,2010.0,Role-Playing,Level 5,0.0,0.0,0.54,0.0,0.54,,,,,,
1110,PS2,2004.0,Racing,Namco Bandai Games,0.26,0.21,0.0,0.07,0.54,,,,,KISS ltd,T
1111,2600,1982.0,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,,,,,,
1112,N64,1998.0,Sports,Electronic Arts,0.11,0.39,0.0,0.03,0.54,,,,,EA Sports,E
1113,N64,1999.0,Action,Midway Games,0.43,0.1,0.0,0.01,0.54,,,,,Midway Games West,
1114,PS3,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.54,0.0,0.54,,,,,,
1115,Wii,2008.0,Racing,System 3 Arcade Software,0.07,0.4,0.0,0.07,0.54,,,,,,
1116,PS,1998.0,Misc,Sony Computer Entertainment,0.09,0.06,0.35,0.04,0.54,,,,,Metro Graphics,E
1117,PS2,2002.0,Role-Playing,Enix Corporation,0.0,0.0,0.54,0.0,0.54,,,,,Chunsoft,
1118,PS,1999.0,Misc,Aruze Corp,0.0,0.0,0.5,0.04,0.54,,,,,,
1119,PS2,2004.0,Sports,Konami Digital Entertainment,0.0,0.0,0.54,0.0,0.54,,,,,,
1120,DS,2008.0,Misc,Ubisoft,0.24,0.23,0.0,0.06,0.54,,,,,,
1121,2600,1982.0,Platform,Parker Bros.,0.5,0.03,0.0,0.01,0.54,,,,,,
1122,SAT,1998.0,Adventure,Sega,0.0,0.0,0.53,0.0,0.53,,,,,Red Company,
1123,3DS,2011.0,Role-Playing,Nintendo,0.0,0.05,0.48,0.0,0.53,,,,,LEVEL-5,Twelve
1124,PS,1996.0,Adventure,ASCII Entertainment,0.07,0.05,0.38,0.03,0.53,,,,,ASCII Entertainment,M
1125,PS2,2004.0,Misc,Sony Computer Entertainment,0.26,0.2,0.0,0.07,0.53,,,,,,
1126,GBA,2004.0,Misc,,0.38,0.14,0.0,0.01,0.53,,,,,,
1127,XB,2004.0,Misc,Sega,0.4,0.11,0.0,0.02,0.53,,,,,,
1128,PS,1999.0,Platform,Eidos Interactive,0.3,0.2,0.0,0.03,0.53,,,,,Eidos Interactive,T
1129,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53,,,,,,
1130,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.53,0.0,0.53,,,,,,
1131,SNES,1994.0,Strategy,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,,,,,iNiS,Seven
1132,SNES,1993.0,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53,,,,,,
1133,DS,2008.0,Role-Playing,Nintendo,0.0,0.13,0.38,0.02,0.53,,,,,LEVEL-5,E10
1134,DS,2006.0,Adventure,Capcom,0.21,0.04,0.26,0.03,0.53,,,,,Capcom,T
1135,N64,2000.0,Action,Activision,0.43,0.09,0.0,0.01,0.53,,,,,Neversoft Entertainment,E
1136,3DS,2016.0,Action,Nintendo,0.05,0.21,0.25,0.02,0.53,,,,,Sega Sports R&D,E10
1137,PS,1997.0,Strategy,SquareSoft,0.0,0.0,0.49,0.03,0.53,,,,,Square,E10
1138,X360,2015.0,Action,Warner Bros. Interactive Entertainment,0.26,0.23,0.0,0.04,0.53,,,6.1,18.0,Traveller's Tales,E10
1139,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.53,0.0,0.53,,,,,,
1140,N64,1996.0,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53,,,,,Atari Games,E
1141,N64,1999.0,Racing,Electronic Arts,0.49,0.03,0.0,0.0,0.53,,,,,Electronic Arts,E
1142,PS,2000.0,Misc,Aruze Corp,0.0,0.0,0.49,0.03,0.53,,,,,,
1143,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.52,0.0,0.52,,,,,Namco Bandai Games,
1144,DS,2010.0,Simulation,Electronic Arts,0.49,0.0,0.0,0.03,0.52,,,,,,
1145,NES,1993.0,Platform,Capcom,0.28,0.07,0.16,0.01,0.52,,,,,,
1146,PSP,2011.0,Sports,Electronic Arts,0.12,0.25,0.02,0.13,0.52,,,,,EA Sports,
1147,PS,1999.0,Action,Infogrames,0.29,0.2,0.0,0.03,0.52,,,,,Ocean Software,T
1148,PS,1998.0,Fighting,Capcom,0.12,0.08,0.28,0.03,0.52,,,,,Capcom,T
1149,PS2,2003.0,Sports,Sega,0.0,0.0,0.52,0.0,0.52,,,,,,
1150,PS,1999.0,Strategy,SquareSoft,0.1,0.07,0.31,0.03,0.52,,,,,Square Electronic Arts,Twelve
1151,DS,2006.0,Misc,Nintendo,0.0,0.0,0.52,0.0,0.52,,,,,,
1152,DS,2013.0,Platform,Disney Interactive Studios,0.21,0.26,0.0,0.04,0.52,,,,,Avanquest Software,E
1153,PS,1999.0,Shooter,Sony Computer Entertainment,0.17,0.11,0.2,0.03,0.52,,,,,Polyphony Digital,E
1154,XB,2002.0,Sports,Sega,0.38,0.11,0.0,0.02,0.52,,,,,Visual Concepts,E
1155,PS3,2011.0,Racing,Disney Interactive Studios,0.22,0.21,0.0,0.09,0.52,,,,,Avalanche Software,Seven
1156,Wii,2008.0,Action,Take-Two Interactive,0.47,0.0,0.0,0.04,0.52,,,,,,
1157,PS2,2002.0,Misc,Sony Computer Entertainment,0.25,0.2,0.0,0.07,0.52,,,,,,
1158,PSV,2013.0,Action,Warner Bros. Interactive Entertainment,0.11,0.29,0.0,0.11,0.51,,,,,TT Games,E10
1159,WiiU,2012.0,Racing,Sega,0.19,0.26,0.02,0.04,0.51,,,,,Sega,Seven
1160,2600,1980.0,Sports,Activision,0.48,0.03,0.0,0.01,0.51,,,,,Activision,E
1161,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51,,,,,Konami,E
1162,PS2,2003.0,Sports,Konami Digital Entertainment,0.0,0.0,0.51,0.0,0.51,,,,,,
1163,PS,1997.0,Sports,Interplay,0.28,0.19,0.0,0.03,0.51,,,,,,E
1164,DS,2008.0,Misc,Nintendo,0.0,0.0,0.51,0.0,0.51,,,,,Nintendo SPD Software Development Group,
1165,GBA,2005.0,Misc,THQ,0.37,0.14,0.0,0.01,0.51,,,,,THQ,
1166,NES,1985.0,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51,,,,,Nintendo,E
1167,N64,1999.0,Misc,THQ,0.41,0.09,0.0,0.01,0.51,,,,,THQ,E
1168,N64,1999.0,Sports,Konami Digital Entertainment,0.01,0.26,0.22,0.02,0.51,,,,,,
1169,PS,1996.0,Strategy,Banpresto,0.0,0.0,0.48,0.03,0.51,,,,,Banpresto,
1170,PC,2012.0,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,,,,,Arkane Studios,M
1171,DS,2007.0,Misc,Ubisoft,0.47,0.0,0.0,0.04,0.51,,,tbd,,,E
1172,WS,2000.0,Role-Playing,SquareSoft,0.0,0.0,0.51,0.0,0.51,,,,,,
1173,2600,1988.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.51,,,,,Activision,E
1174,PS2,2002.0,Misc,Infogrames,0.25,0.19,0.0,0.06,0.51,,,,,Infogrames,E
1175,PS,1997.0,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.03,0.51,,,,,,E
1176,2600,1983.0,Action,Atari,0.47,0.03,0.0,0.01,0.5,,,,,,
1177,PS3,2011.0,Role-Playing,Capcom,0.0,0.0,0.5,0.0,0.5,,,,,,
1178,PS,2001.0,Misc,THQ,0.28,0.19,0.0,0.03,0.5,,,,,Viacom New Media,EC
1179,DS,2007.0,Simulation,THQ,0.46,0.01,0.0,0.04,0.5,,,,,Toy Headquarters,Three
1180,2600,1982.0,Shooter,Activision,0.47,0.03,0.0,0.01,0.5,,,,,Activision,E
1181,PS3,2010.0,Action,Ubisoft,0.17,0.24,0.0,0.09,0.5,,,,,Ubisoft Montreal,Sixteen
1182,N64,2000.0,Action,THQ,0.4,0.09,0.0,0.01,0.5,,,,,Avalanche Software,E
1183,DS,2009.0,Adventure,GSP,0.12,0.32,0.0,0.06,0.5,,,,,,
1184,PS3,2010.0,Shooter,Activision,0.24,0.18,0.0,0.08,0.5,,,,,,
1185,PS2,2004.0,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5,,,,,Banpresto,
1186,PS,1995.0,Sports,Jaleco,0.28,0.19,0.0,0.03,0.5,,,,,Jaleco,E
1187,PS2,2002.0,Shooter,LucasArts,0.24,0.19,0.0,0.06,0.5,,,,,LucasArts,T
1188,SNES,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,,,,,,
1189,PS2,2008.0,Strategy,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5,,,,,,
1190,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,,,,,G-Artists,
1191,2600,1982.0,Sports,Atari,0.46,0.03,0.0,0.01,0.5,,,,,,
1192,2600,1981.0,Action,Atari,0.46,0.03,0.0,0.01,0.5,,,,,,
1193,2600,1982.0,Action,Answer Software,0.46,0.03,0.0,0.01,0.5,,,,,,
1194,PC,2008.0,Simulation,Rondomedia,0.0,0.42,0.0,0.07,0.49,,,7.6,35.0,SCS Software,Three
1195,PS3,2015.0,Action,Square Enix,0.0,0.0,0.49,0.0,0.49,,,,,Koei Tecmo Games,Twelve
1196,2600,1980.0,Sports,Activision,0.46,0.03,0.0,0.01,0.49,,,,,,
1197,PS2,2006.0,Shooter,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,,,,,,
1198,SNES,1993.0,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49,,,,,,
1199,N64,1997.0,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49,,,,,EA Canada,E
1200,3DS,2012.0,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,,,,,Disney Interactive Studios,E
1201,X360,2010.0,Shooter,Square Enix,0.2,0.22,0.01,0.05,0.49,,,,,IO Interactive,Eighteen
1202,SAT,1997.0,Sports,Sega,0.0,0.0,0.49,0.0,0.49,,,,,,
1203,PS2,2009.0,Racing,Sony Computer Entertainment,0.0,0.15,0.0,0.33,0.49,,,,,SCE Studio Liverpool,Three
1204,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.49,0.0,0.49,,,,,Namco Limited,
1205,PS,2001.0,Fighting,Atari,0.0,0.0,0.46,0.03,0.49,,,,,Ganbarion,
1206,PS3,2012.0,Racing,Sega,0.08,0.3,0.01,0.09,0.49,,,,,Sega,Seven
1207,PS2,2009.0,Shooter,Activision,0.25,0.01,0.0,0.22,0.49,,,,,,
1208,PS,1999.0,Action,Fox Interactive,0.27,0.18,0.0,0.03,0.49,,,,,,
1209,PS2,2001.0,Misc,Hudson Soft,0.0,0.0,0.49,0.0,0.49,,,,,Hudson Soft,
1210,SNES,1995.0,Simulation,THQ,0.0,0.0,0.49,0.0,0.49,,,,,Electronic Arts,Three
1211,PSP,2008.0,Sports,Sega,0.0,0.47,0.0,0.02,0.48,,,,,Sports Interactive,
1212,3DS,2015.0,Puzzle,Nintendo,0.06,0.07,0.34,0.01,0.48,,,,,GungHo Works,E
1213,PS,1999.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.45,0.03,0.48,,,,,,
1214,2600,1983.0,Shooter,Atari,0.45,0.03,0.0,0.01,0.48,,,,,,
1215,SNES,1991.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48,,,,,,
1216,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.28,0.16,0.0,0.04,0.48,,,,,WB Games,M
1217,PS2,2003.0,Misc,Atari,0.24,0.18,0.0,0.06,0.48,,,,,,
1218,PS2,2006.0,Action,THQ,0.4,0.02,0.0,0.07,0.48,,,,,THQ,T
1219,PS,1999.0,Fighting,Acclaim Entertainment,0.27,0.18,0.0,0.03,0.48,,,,,,
1220,X360,2011.0,Racing,Disney Interactive Studios,0.28,0.15,0.0,0.05,0.48,,,,,Avalanche Software,Seven
1221,PS,1998.0,Fighting,Activision,0.27,0.18,0.0,0.03,0.48,,,,,,
1222,N64,1999.0,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,0.48,,,,,Victor Interactive Software,E
1223,N64,1998.0,Sports,Acclaim Entertainment,0.44,0.04,0.0,0.0,0.48,,,,,Acclaim,E
1224,Wii,2009.0,Shooter,Activision,0.24,0.19,0.0,0.05,0.48,,,,,,
1225,PS,1999.0,Racing,Activision,0.27,0.18,0.0,0.03,0.48,,,,,Activision,T
1226,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.22,0.1,0.11,0.05,0.48,,,,,NIS Europe,Twelve
1227,PS,1999.0,Sports,989 Studios,0.27,0.18,0.0,0.03,0.48,,,,,,E
1228,X360,2013.0,Sports,Take-Two Interactive,0.44,0.0,0.0,0.04,0.48,,,,,,
1229,DS,2007.0,Puzzle,Ubisoft,0.0,0.47,0.0,0.0,0.48,,,,,WizarBox,
1230,2600,1981.0,Racing,Activision,0.45,0.03,0.0,0.0,0.48,,,,,,
1231,2600,1989.0,Action,Activision,0.45,0.02,0.0,0.01,0.47,,,,,,
1232,PS,1996.0,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47,,,,,Probe Entertainment,M
1233,N64,1998.0,Sports,Electronic Arts,0.45,0.02,0.0,0.0,0.47,,,,,Electronic Arts,E
1234,2600,1982.0,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47,,,,,Ultravision Inc.,
1235,DS,2008.0,Action,Take-Two Interactive,0.43,0.01,0.0,0.03,0.47,,,,,Black Lantern Studios,
1236,PS2,2006.0,Action,Electronic Arts,0.39,0.02,0.0,0.06,0.47,,,,,,
1237,SNES,1995.0,Puzzle,Compile,0.0,0.0,0.47,0.0,0.47,,,,,,
1238,PS,2000.0,Action,Midway Games,0.26,0.18,0.0,0.03,0.47,,,,,Midway Games West,
1239,PS,1995.0,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47,,,,,Psygnosis,E
1240,Wii,2011.0,Role-Playing,Square Enix,0.0,0.0,0.47,0.0,0.47,,,,,,
1241,GBA,2002.0,Platform,Nintendo,0.0,0.0,0.46,0.01,0.47,,,,,,
1242,PS,1999.0,Misc,Hudson Entertainment,0.0,0.0,0.44,0.03,0.47,,,,,Hudson Soft,
1243,N64,1997.0,Shooter,Midway Games,0.38,0.08,0.0,0.01,0.47,,,,,Midway Studios San Diego,M
1244,N64,1998.0,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47,,,,,Hudson Soft,Seven
1245,N64,1997.0,Racing,Titus,0.28,0.17,0.0,0.01,0.47,,,,,Titus Software,E
1246,N64,1998.0,Role-Playing,Konami Digital Entertainment,0.38,0.08,0.0,0.01,0.47,,,,,THQ,E
1247,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47,,,,,,
1248,X360,2010.0,Role-Playing,Electronic Arts,0.33,0.1,0.0,0.04,0.47,,,,,BioWare Edmonton,GRAC_Eighteen
1249,PS,1999.0,Misc,Codemasters,0.26,0.18,0.0,0.03,0.47,,,,,Codemasters,E
1250,SNES,1995.0,Misc,Hudson Soft,0.0,0.0,0.47,0.0,0.47,,,,,,
1251,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.47,0.0,0.47,,,,,Konami,
1252,PC,2011.0,Sports,Electronic Arts,0.04,0.33,0.0,0.1,0.47,,,,,EA Canada,E
1253,3DS,2012.0,Role-Playing,Level 5,0.0,0.01,0.46,0.0,0.47,,,,,LEVEL-5,Twelve
1254,PS,1996.0,Sports,Electronic Arts,0.26,0.18,0.0,0.03,0.47,,,,,,E
1255,PC,2014.0,Simulation,Sega,0.0,0.44,0.0,0.03,0.46,80.0,36.0,6,151.0,Sports Interactive,Three
1256,XB,2005.0,Shooter,THQ,0.34,0.11,0.0,0.02,0.46,,,,,THQ,T
1257,Wii,2008.0,Simulation,Ubisoft,0.42,0.01,0.0,0.04,0.46,,,,,Ubisoft Montreal,Three
1258,DS,2007.0,Sports,Ubisoft,0.46,0.01,0.0,0.0,0.46,,,,,,
1259,2600,1978.0,Action,Atari,0.43,0.03,0.0,0.0,0.46,,,,,,
1260,SNES,1992.0,Sports,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46,,,,,Namco,
1261,SNES,1993.0,Platform,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46,,,,,,
1262,PS,1999.0,Racing,Midway Games,0.26,0.17,0.0,0.03,0.46,,,,,,
1263,PS,1996.0,Sports,Sony Computer Entertainment,0.26,0.17,0.0,0.03,0.46,,,,,,E
1264,XOne,2014.0,Action,Square Enix,0.26,0.15,0.0,0.04,0.46,,,,,,
