Developer,Country,Year_of_Establishment
Tecmo Koei Games,Unknown (ID: None),Unknown
Iguana Entertainment,United States of America,1991
Appaloosa Interactive,Hungary,1982
Banpresto,Japan,1989
Capcom Japan,Unknown (ID: None),Unknown
Day 1 Studios,Unknown (ID: None),Unknown
ASCII Entertainment,Unknown (ID: None),Unknown
ParityBit,Unknown (ID: None),Unknown
Nintendo EPD Production Group No. 3,Japan,2015
SRD,Unknown (ID: None),Unknown
Paradigm Simulation,Unknown (ID: None),Unknown
Ubisoft San Francisco,United States of America,2009
CS1 Team,Unknown (ID: None),Unknown
NIS America,United States of America,2003
Atlus USA,United States of America,1991
BioWare Mythic,United States of America,2009
Mesopotamia Software,Unknown (ID: None),Unknown
Ritual Entertainment,United States of America,1996
Atari Corporation,United States of America,1984
Acclaim Japan,Unknown (ID: None),Unknown
Iguana UK,Unknown (ID: None),Unknown
G-Craft,Japan,1994
MercurySteam,Spain,2002
PopCap Games,United States of America,2000
SUNSOFT,Japan,1978
Bandai Namco Holdings,Japan,2005
Ryu ga Gotoku Studios,Japan,2011
EA Salt Lake,United States of America,1992
Taito GM R&D Sect. #2,Japan,Unknown
BigSky Interactive Inc.,Unknown (ID: None),Unknown
Agetec,Unknown (ID: None),Unknown
Square Enix Business Division 5,Japan,2013
Blind Squirrel Games,United States of America,2010
Bomber eXpress,Japan,Unknown
Lexis Numerique,France,1990
Eidos Interactive Europe,Unknown (ID: None),Unknown
Just Games Interactive,United States of America,2002
Maxis Software,Unknown (ID: None),Unknown
Chat Noir,Unknown (ID: None),Unknown
FreeStyleGames,Unknown (ID: None),Unknown
Imagineer,Japan,1986
Russobit-M,Russian Federation,1999
Team17,United Kingdom of Great Britain and Northern Ireland,1990
"MicroProse Software, Inc.",United States of America,1982
Acer TWP,Unknown (ID: None),Unknown
Arika,Japan,1995
Barnhouse Effect,Japan,1997
Takara,Japan,1955
"Atlus Co., Ltd",Unknown (ID: None),Unknown
Play It,United Kingdom of Great Britain and Northern Ireland,2003
System 3 Software Ltd.,Unknown (ID: None),Unknown
INTAC,Unknown (ID: None),Unknown
Pole To Win,Unknown (ID: None),Unknown
Vigil Games,United States of America,2005
Z-Axis Ltd.,Unknown (ID: None),Unknown
Sega AM3,Japan,1993
Wolf Team,Japan,1986
Square Enix London Studios,United Kingdom of Great Britain and Northern Ireland,2009
Tomy,Japan,1924
8ing,Unknown (ID: None),Unknown
Raizing,Japan,1993
SCE Studio Liverpool,United Kingdom of Great Britain and Northern Ireland,2001
Tantalus Media,Australia,1994
Avanquest Software,Unknown (ID: None),Unknown
Bigbig Studios,United Kingdom of Great Britain and Northern Ireland,2001
Dreamworks Interactive,United States of America,1995
Longtail Studios,Unknown (ID: None),Unknown
AiLive,Unknown (ID: None),Unknown
Hyde,Unknown (ID: None),Unknown
Razorworks Studios,Unknown (ID: None),Unknown
Zonic Limited,United Kingdom of Great Britain and Northern Ireland,1996
Sammy Studios,United States of America,2002
Free Radical Design,United Kingdom of Great Britain and Northern Ireland,1999
DreamFactory,Japan,1995
Playlogic Entertainment,Unknown (ID: None),Unknown
Access Games,Japan,2002
Incinerator Studios,Unknown (ID: None),Unknown
Tantalus Interactive,Australia,1994
HexaDrive,Japan,2007
Square Enix Business Division 2,Japan,2013
Bullet-Proof Software,Japan,1983
Double Fine Productions,United States of America,2000
Square Enix Business Division 6,Japan,2013
Giants Software,Switzerland,Unknown
Blue Tongue Entertainment,Australia,1995
BlitWorks,Spain,2012
Overworks,Japan,2000
"SCEE QA, Liverpool",Unknown (ID: None),Unknown
Monster Games,United States of America,1996
Coresoft,Unknown (ID: None),Unknown
Oxygen Games,United Kingdom of Great Britain and Northern Ireland,2001
SuperBot Entertainment,Unknown (ID: None),Unknown
Torus Games,Australia,1994
Junction Point,Unknown (ID: None),Unknown
Media.Vision,Japan,1993
Q-Games Ltd.,Japan,2001
Robomodo,United States of America,2008
The Game Factory,Denmark,2004
Neko Entertainment,France,1999
Pastagames,France,2000
Behaviour Santiago,Chile,2010
Titus Software,France,Unknown
Digital Integration,United Kingdom of Great Britain and Northern Ireland,1982
Mastiff,United States of America,Unknown
ImaginEngine,United States of America,1994
Mattel,United States of America,1945
South Park Digital Studios,Unknown (ID: None),Unknown
Sculptured Software,United States of America,1985
Prope,Japan,Unknown
Mind's Eye,Unknown (ID: None),Unknown
Mistwalker,Japan,2004
Marvelous AQL,Japan,2011
Marvelous AQL Europe,United Kingdom of Great Britain and Northern Ireland,2012
Genki,Japan,1990
Interactive Studios,Unknown (ID: None),Unknown
Koei Tecmo,Japan,2009
Mud Duck Productions,United States of America,2002
Atomic Planet Entertainment,Unknown (ID: None),Unknown
Vir2L Studios,Unknown (ID: None),Unknown
Feelplus,Unknown (ID: None),1992
Looking Glass Studios,United States of America,1990
Warner Bros. Entertainment Inc.,United States of America,1923
Lightstorm Entertainment,Unknown (ID: None),Unknown
20th Century Fox Games,Unknown (ID: None),Unknown
Electronic Arts UK,Unknown (ID: None),Unknown
Telltale Games,United States of America,2004
Red Entertainment,Japan,2000
Artdink,Japan,1986
Mojang Studios,Sweden,2009
TNX,Unknown (ID: None),Unknown
ak tronic,Unknown (ID: None),Unknown
Mad Catz,Unknown (ID: None),Unknown
Kush Games,United States of America,2005
Armature Studio,United States of America,2008
FASA Studio,Unknown (ID: None),Unknown
Runecraft,United Kingdom of Great Britain and Northern Ireland,1997
TalonSoft,United States of America,1995
Beam Software,Australia,1980
38 Studios,United States of America,2006
Big Huge Games,United States of America,2000
Alfa System,Japan,Unknown
Pinnacle Software,Unknown (ID: None),Unknown
Asylum Entertainment,United Kingdom of Great Britain and Northern Ireland,1998
Shaba Games,Unknown (ID: None),Unknown
Reactor Zero,Unknown (ID: None),Unknown
Black Lantern Studios,Unknown (ID: None),Unknown
Rage Software,United Kingdom of Great Britain and Northern Ireland,1992
HME Inc,Unknown (ID: None),Unknown
Toolbox Design,Unknown (ID: None),Unknown
MotiveTime Ltd,Unknown (ID: None),Unknown
3DO,Unknown (ID: None),Unknown
Saffire,United States of America,1994
Game Refuge Inc,Unknown (ID: None),Unknown
Midway Amusement Games,Unknown (ID: None),Unknown
Ganbarion,Japan,1999
Bandai Namco Games,Japan,2014
Bandai Namco Studios,Japan,2014
Threewave Software,Unknown (ID: None),Unknown
(Archive) Ubisoft US,Unknown (ID: None),Unknown
MTO,Unknown (ID: None),Unknown
Ubisoft US,Unknown (ID: None),Unknown
Climax Brighton,United Kingdom of Great Britain and Northern Ireland,1999
Darkblack,United Kingdom of Great Britain and Northern Ireland,1998
Eutechnyx,United Kingdom of Great Britain and Northern Ireland,1996
Raylight Studios,Unknown (ID: None),Unknown
Artech Studios,Canada,1982
Global VR,Unknown (ID: None),Unknown
Triptych Games,Unknown (ID: None),Unknown
Piranha Games,Canada,2000
Digital Anvil,United States of America,1996
Virgin Interactive Entertainment (Europe) Ltd.,United Kingdom of Great Britain and Northern Ireland,1983
CE Europe Ltd.,Unknown (ID: None),Unknown
SIE Santa Monica Studio,United States of America,2016
Marvelous Interactive,Japan,1970
Rising Star Games,United Kingdom of Great Britain and Northern Ireland,2004
Salt Lake Games Studio,United States of America,2000
Midway Chicago,Unknown (ID: None),Unknown
Tiger Hill Entertainment,Unknown (ID: None),Unknown
Evolution Games,Unknown (ID: None),Unknown
Ubisoft Australia,Australia,Unknown
Pipeline Software,Unknown (ID: None),Unknown
NeoBards Entertainment,"Taiwan, Province of China",2017
Midway Home Entertainment,Unknown (ID: None),Unknown
Square Enix Product Development Division 3,Japan,1996
Delphine Software,France,1988
Monkey Bar Games,Unknown (ID: None),Unknown
Guerrilla Cambridge,United Kingdom of Great Britain and Northern Ireland,2013
Telenet Japan,Unknown (ID: None),Unknown
Lucasfilm Animation Singapore,Singapore,2004
Deibus Studios,Unknown (ID: None),Unknown
On Deck Interactive,Unknown (ID: None),Unknown
Kodiak Interactive,Unknown (ID: None),Unknown
1C-SoftClub,Russian Federation,1994
4th Kernel Studios,Unknown (ID: None),Unknown
Code Mystics,Unknown (ID: None),Unknown
Sprung Studios,Canada,2005
Square Enix Product Development Division 10,Japan,2003
Novarama,Spain,2003
Silicon Knights,Canada,1992
Digital Illusions CE: Canada,Canada,Unknown
Agatsuma,Unknown (ID: None),Unknown
"Nerve Software, LLC",United States of America,2001
TimeGate Studios,United States of America,1998
iNiS,Japan,Unknown
High Score Entertainment,Unknown (ID: None),Unknown
Press Start Inc.,Unknown (ID: None),Unknown
Sega of America,United States of America,1986
Sega Europe,United Kingdom of Great Britain and Northern Ireland,1991
Nihilistic Software,United States of America,1998
David A. Palmer Productions,Unknown (ID: None),Unknown
Polygon Magic,Japan,1996
Capcom Production Studio 8,United States of America,2000
Nobilis,Unknown (ID: None),Unknown
Hands-On Mobile,Unknown (ID: None),Unknown
Square Osaka Development Department,Japan,1990
Value Wave,Unknown (ID: None),Unknown
Game Republic Inc.,Japan,2003
Atari Games,United States of America,1984
Climax Studios,United Kingdom of Great Britain and Northern Ireland,2008
Le Cortex,Unknown (ID: None),Unknown
Ubisoft Casablanca,Morocco,1998
Touchstone Games,Unknown (ID: None),Unknown
Propaganda Games,Canada,2005
Pacific Coast Power & Light,United States of America,1997
"TOSE Co., Ltd.",Unknown (ID: None),Unknown
Square Enix Product Development Division 8,Japan,2003
Extended Play Productions,Unknown (ID: None),Unknown
Arc System Works,Japan,1988
Zen United,Unknown (ID: None),Unknown
Keita Takahashi,Unknown (ID: None),Unknown
Dearsoft,Unknown (ID: None),Unknown
Little Worlds Studio,Unknown (ID: None),Unknown
Anuman Interactive,France,2000
Mesa Logic,Unknown (ID: None),Unknown
Time Warner Interactive,United States of America,1994
Perfect Entertainment,Unknown (ID: None),Unknown
Cryo Interactive,France,1992
P Studio,Japan,2012
Midway Studios Los Angeles,United States of America,1994
Studio Gobo,United Kingdom of Great Britain and Northern Ireland,Unknown
Realism,Unknown (ID: None),Unknown
Agora Games,United States of America,Unknown
Humansoft,Unknown (ID: None),Unknown
XS Games,Unknown (ID: None),Unknown
Jester Interactive,Unknown (ID: None),Unknown
SUCCESS Corp.,Unknown (ID: None),Unknown
AWE Games,United States of America,1997
Lego Media,Unknown (ID: None),Unknown
Tamsoft,Japan,1992
Playmates Interactive Entertainment,Unknown (ID: None),Unknown
TopWare Interactive,Germany,1995
Reality Pump,Poland,1995
The Bitmap Brothers,United Kingdom of Great Britain and Northern Ireland,1987
Hip Interactive,United States of America,1995
Attitude Studios,Unknown (ID: None),Unknown
Majesco Sales,Unknown (ID: None),Unknown
Virtucraft,Unknown (ID: None),Unknown
Pipedream Interactive,Unknown (ID: None),Unknown
Atari Interactive,United States of America,1998
Illusion Softworks,Czechia,1997
"SIMS Co., Ltd.",Unknown (ID: None),Unknown
SIMS,Japan,1991
A2M,Unknown (ID: None),Unknown
Mortal Kombat Team,Unknown (ID: None),Unknown
Midway Studios San Diego,United States of America,Unknown
Fuse Games,Unknown (ID: None),Unknown
7 Studios,Unknown (ID: None),Unknown
DiP Interactive,Unknown (ID: None),Unknown
SME Dynamic Systems,Unknown (ID: None),Unknown
Gaijin Entertainment,Russian Federation,Unknown
Eden Games,France,2015
Blue Fang Games,United States of America,Unknown
Square Enix Product Development Division 2,Japan,2003
Secret Level,Unknown (ID: None),Unknown
Trion Worlds,United States of America,2006
Psygnosis Limited,Unknown (ID: None),Unknown
Metro 3D,Unknown (ID: None),Unknown
Headup Games,Germany,Unknown
Re-Logic,United States of America,2010
Pipeworks Studio,Unknown (ID: None),Unknown
DR Studios,United Kingdom of Great Britain and Northern Ireland,Unknown
Codeglue,"Netherlands, Kingdom of the",Unknown
Engine Software,"Netherlands, Kingdom of the",Unknown
Original Force 3D,China,1999
The Third Floor,Unknown (ID: None),Unknown
Shadowplay Studio,Unknown (ID: None),Unknown
"Whoodoo EFX, Inc.",Unknown (ID: None),Unknown
Hollywood-DI,Unknown (ID: None),Unknown
The Cinesoup Consortium,Unknown (ID: None),Unknown
Ideal Audio Inc.,Unknown (ID: None),Unknown
The Skywalker Symphony Orchestra and Choir,Unknown (ID: None),Unknown
Skywalker Sound,Unknown (ID: None),Unknown
Phoenix Sound,Unknown (ID: None),Unknown
Pinewood Studios,Unknown (ID: None),Unknown
Steve Juliani Music,Unknown (ID: None),Unknown
Gamespy Professional Services,Unknown (ID: None),Unknown
Albion Localisations,Unknown (ID: None),Unknown
Fontoló Studió Ltd.,Unknown (ID: None),Unknown
Início Localization Services,Unknown (ID: None),Unknown
La Marque Rose,Unknown (ID: None),Unknown
SoftClub,Russian Federation,1994
Presto - Prekladatelsk Centrum s.r.o,Unknown (ID: None),Unknown
Synthesis International S.r.l,Unknown (ID: None),Unknown
Estudios EXA S.L.,Unknown (ID: None),Unknown
toneworx GmbH,Germany,Unknown
EA Worldwide Motion Capture Studio,Unknown (ID: None),Unknown
POP Sound,Unknown (ID: None),Unknown
Beachhouse Films,Unknown (ID: None),Unknown
Starbreeze Studios,Sweden,2002
Contrail,Japan,1997
Typhoon Games,Unknown (ID: None),Unknown
Koch Media,Germany,1994
4A Games,Ukraine,2005
Grasshopper Manufacture,Japan,1998
Kadokawa Games,Japan,2009
Taiko Team,Unknown (ID: None),Unknown
tri-Crescendo,Japan,1999
P2 Games,Unknown (ID: None),Unknown
Screenlife,Unknown (ID: None),Unknown
Suzak,Unknown (ID: None),Unknown
XSEED Games,United States of America,2004
AQ Interactive,Japan,2005
Focus Entertainment,France,1996
Majesco,Unknown (ID: None),Unknown
Red Kite Games,United Kingdom of Great Britain and Northern Ireland,2012
GenePool Software,Unknown (ID: None),Unknown
Epicenter Studios,Unknown (ID: None),Unknown
Golem Entertainmen,Unknown (ID: None),Unknown
Maximum Games,United States of America,2009
"612 Entertainment, LLC",Unknown (ID: None),Unknown
Adrenium Games,Unknown (ID: None),Unknown
SuperVillain Studios,Unknown (ID: None),Unknown
Kalisto Entertainment,France,Unknown
Juice Games,Unknown (ID: None),Unknown
SEGA Racing Studio,Unknown (ID: None),Unknown
Bugbear Entertainment,Finland,2000
Rovio Entertainment,Finland,2003
Housemarque,Finland,1995
Clover Studio,Japan,2004
Ghostlight Ltd.,United Kingdom of Great Britain and Northern Ireland,2004
Magic Wand Productions,Unknown (ID: None),Unknown
"Ludia, Inc.",Canada,2007
"Disney Interactive Studios, Inc.",Unknown (ID: None),Unknown
"Griptonite, Inc.",Unknown (ID: None),Unknown
Team Viewtiful,Unknown (ID: None),Unknown
Prolific Publishing,Unknown (ID: None),Unknown
LAB Rats Games,Unknown (ID: None),Unknown
Acclaim,Unknown (ID: None),Unknown
Vicious Cycle Software,Unknown (ID: None),Unknown
Skyworks Interactive,Unknown (ID: None),Unknown
Little Stone Software,Unknown (ID: None),Unknown
King Records,Japan,1931
Ascaron Entertainment,Germany,1992
cdv Software Entertainment,Germany,2000
Endgame Studios,Australia,Unknown
Nikko,Unknown (ID: None),Unknown
Tose Software,Unknown (ID: None),Unknown
Namco Network,Unknown (ID: None),Unknown
AMA Studios,Unknown (ID: None),Unknown
Ignition Entertainment,Unknown (ID: None),Unknown
Vanillaware,Japan,2002
Marvelous Entertainment,Japan,1997
Magenta Software,United Kingdom of Great Britain and Northern Ireland,Unknown
EA Japan,Unknown (ID: None),Unknown
Intelligent Games,Unknown (ID: None),Unknown
Creation,Unknown (ID: None),Unknown
Barbie Software for Girls,Unknown (ID: None),Unknown
Mattel Media,United States of America,1996
ColdWood Interactive,Sweden,Unknown
Quintet,Japan,1989
Vision Universe,Japan,1977
PAM Development,France,1995
Team .366,Unknown (ID: None),Unknown
Spicy Horse Games,China,2007
BEC,Japan,1990
ACQUIRE Corp.,Japan,1994
Infogrames North America,Unknown (ID: None),Unknown
Overkill Software,Sweden,2009
Midway Studios Austin,Unknown (ID: None),Unknown
Aksys Games,United States of America,2006
PQube,United Kingdom of Great Britain and Northern Ireland,2009
N3V Games,Australia,Unknown
"H2 Interactive Co., Ltd.",Unknown (ID: None),Unknown
NAMCO BANDAI Games America Inc.,Unknown (ID: None),Unknown
Funcom,Norway,1993
Bunkasha,Unknown (ID: None),Unknown
Nippon Ichi Software,Japan,1991
Digital Illusions CE,Sweden,1993
SouthEnd Interactive,Sweden,1998
Neverland,Unknown (ID: None),Unknown
Vast Fame,Unknown (ID: None),Unknown
Etranges Libellulles,Unknown (ID: None),Unknown
Tomy Corporation,Unknown (ID: None),Unknown
Relic Entertainment,Canada,1997
Anchor Inc,Unknown (ID: None),Unknown
Racjin,Japan,1995
Awesome Studios,Unknown (ID: None),Unknown
Bullets Co. Ltd.,Japan,2004
nFusion Interactive,Unknown (ID: None),Unknown
Japan Art Media,Unknown (ID: None),Unknown
Kadokawa Shoten,Japan,2003
Entertainment Software Publishing Inc.,Unknown (ID: None),Unknown
Working Designs,United States of America,1986
SoMoGa,Unknown (ID: None),Unknown
Deep Space,Unknown (ID: None),Unknown
Enterbrain,Unknown (ID: None),Unknown
Inti Creates,Japan,1996
Frima Studio,Canada,Unknown
Big Bang,Unknown (ID: None),Unknown
Winkysoft,Unknown (ID: None),Unknown
Brain Toys,Unknown (ID: None),Unknown
Paramount Digital Entertainment,United States of America,1993
Big Head Games,United Kingdom of Great Britain and Northern Ireland,Unknown
Mobius Entertainment,United Kingdom of Great Britain and Northern Ireland,1997
"Spectrum HoloByte, Inc.",United States of America,1983
Pixel Tales,Sweden,2004
Nuevo Retro Games,Unknown (ID: None),Unknown
Yager Development,Germany,1999
Missing Link Games,United States of America,Unknown
Square Enix Product Development Division 6,Japan,2003
KISS ltd,United Kingdom of Great Britain and Northern Ireland,2013
Funbox Media,Unknown (ID: None),Unknown
"Epoch Co., Ltd.",Unknown (ID: None),Unknown
Metro Graphics,Unknown (ID: None),Unknown
Rakish,Unknown (ID: None),Unknown
Cing,Japan,1999
Vivendi Universal,France,2001
Inevitable Entertainment,Unknown (ID: None),Unknown
Destineer,United States of America,2000
Digital Embryo,Unknown (ID: None),Unknown
Red Company,Japan,1976
Sega CS2 R&D,Unknown (ID: None),Unknown
Akella,Russian Federation,1993
Human Entertainment,Unknown (ID: None),Unknown
Sega CS3,Unknown (ID: None),Unknown
Sega Games,Japan,2015
Keen Games,Germany,2005
Mediaquest,Unknown (ID: None),Unknown
Buka Entertainment,Russian Federation,Unknown
Bungie West,Unknown (ID: None),Unknown
MiST Land,Unknown (ID: None),Unknown
Evolved Games,Unknown (ID: None),Unknown
Vivarium,Unknown (ID: None),Unknown
Ubisoft Japan,Unknown (ID: None),Unknown
Machatin,Japan,2000
Ocean Software,United Kingdom of Great Britain and Northern Ireland,1984
Infogrames Entertainment,Unknown (ID: None),Unknown
X-Ample Architectures,Unknown (ID: None),Unknown
Deck13 Interactive,Germany,2001
T&E Soft,Japan,1982
Square Product Development Division 6,Japan,1997
NIS Europe,Unknown (ID: None),Unknown
UFO Interactive Software,Unknown (ID: None),Unknown
BAM! Entertainment,United States of America,1999
Daybreak Game Company,United States of America,2015
Realtime Associates,United States of America,1986
Digital Eclipse Software,Unknown (ID: None),Unknown
"Imagineering, Inc.",Unknown (ID: None),Unknown
THQ Studio Oz,Unknown (ID: None),Unknown
Viacom New Media,United States of America,1994
Universal Interactive,United States of America,1994
Toy Headquarters,Unknown (ID: None),Unknown
DTP Entertainment,Germany,1995
Sproing Interactive Media,Austria,2001
Barking Lizards Technologies,United States of America,2001
Contraband Entertainment,Unknown (ID: None),Unknown
Eugen Systems,France,Unknown
"indieszero Co., Ltd.",Japan,1997
Quest,Japan,1988
AM1,Unknown (ID: None),Unknown
"SIMS Co., Ltd",Japan,1991
Jaleco,Japan,1974
Kuusou Kagaku,Unknown (ID: None),Unknown
"ASCII Entertainment Software, Inc.",Unknown (ID: None),Unknown
HandMade Games,Unknown (ID: None),Unknown
THQ Studio Australia,Unknown (ID: None),Unknown
Xeen,Japan,2006
SCS Software,Czechia,1997
Sega Entertainment,United States of America,1996
DreamRift,United States of America,2009
Humongous Entertainment,United States of America,1992
Spiral House,United Kingdom of Great Britain and Northern Ireland,1998
Namco Limited,Unknown (ID: None),Unknown
City Interactive S.A.,Poland,Unknown
Vitei,Unknown (ID: None),Unknown
GungHo Works,Unknown (ID: None),Unknown
Pocketeers,United Kingdom of Great Britain and Northern Ireland,2002
WXP Inc,United States of America,1995
Noviy Disk,Russian Federation,1997
Zoo Corporation,Japan,1986
Totally Games,United States of America,1993
Victor Interactive Software,Japan,1996
Toy Box Studios,Unknown (ID: None),Unknown
Pack-In-Soft,Japan,1996
Gust,Japan,1993
Psyclone,Unknown (ID: None),Unknown
WizarBox,France,2004
Ratbag Games,Unknown (ID: None),Unknown
Ultravision Inc.,Unknown (ID: None),Unknown
Étranges Libellules,France,1994
NEW Corporation,Japan,1991
Beyond Games,United States of America,1992
Midway Studios Newcastle,Unknown (ID: None),Unknown
Make Software,Japan,1988
Titus France,France,1985
Imagineer Interactive,Japan,1995
FASA Interactive,Unknown (ID: None),Unknown
Sniper Studios,Unknown (ID: None),Unknown
Gratuitous Games,Unknown (ID: None),Unknown
Bandai Namco Entertainment America,United States of America,2015
Shin'en,Germany,1999
Team Tachyon,Japan,Unknown
Software Creations,United Kingdom of Great Britain and Northern Ireland,1985
Vatra Games,Czechia,2009
NovaLogic,United States of America,1985
Amaze,Unknown (ID: None),Unknown
Ape,Japan,1989
Meyer / Glass Interactive,Unknown (ID: None),Unknown
Tigon Studios,Unknown (ID: None),Unknown
Cartoon Network Interactive,Unknown (ID: None),Unknown
Treasure,Japan,Unknown
Viz Media,Unknown (ID: None),Unknown
Shonen Jump,Unknown (ID: None),Unknown
James Software,Unknown (ID: None),Unknown
Home Entertainment Suppliers Pty Ltd,Unknown (ID: None),Unknown
Ricochet,Unknown (ID: None),Unknown
Proein,Spain,1992
Dro Soft,Spain,1984
Fargus Multimedia,Russian Federation,1996
Ivolgamus,Unknown (ID: None),Unknown
TecToy,Brazil,Unknown
Underground Development,Unknown (ID: None),Unknown
Syfy Games,Unknown (ID: None),Unknown
SNK,Japan,1978
Magical Company,Unknown (ID: None),Unknown
Creative Patterns,Unknown (ID: None),Unknown
Studio Gigante,Unknown (ID: None),Unknown
Wideload Games,United States of America,2003
Double Helix Games,United States of America,2007
Beast Studios,Unknown (ID: None),Unknown
Computer Artworks,Unknown (ID: None),Unknown
Megatube,Unknown (ID: None),Unknown
Two Tribes B.V.,"Netherlands, Kingdom of the",2001
Centropolis Entertainment,Unknown (ID: None),Unknown
Semi Logic Entertainments,Unknown (ID: None),Unknown
Cave+Barn Studios,Unknown (ID: None),Unknown
Q Entertainment,Japan,2003
Tetris Online Inc,Unknown (ID: None),Unknown
Compile Heart,Japan,2006
Idea Factory,Japan,1994
Sensory Sweep Studios,Unknown (ID: None),Unknown
"Mobile & Game Studio, Inc.",Japan,Unknown
Toybox Inc.,Unknown (ID: None),2011
Sunrise Interactive,Unknown (ID: None),Unknown
Game Machine Studios,Unknown (ID: None),Unknown
Digital Kids,Unknown (ID: None),Unknown
Infrogrames,Unknown (ID: None),Unknown
Aspect,Japan,1991
Def Jam,Unknown (ID: None),Unknown
Big Ant Studios,Australia,Unknown
Obigeta Makers,Unknown (ID: None),Unknown
Hip Games,Unknown (ID: None),Unknown
Success Corporation,Japan,1978
Entertainment Software Publishings,Unknown (ID: None),Unknown
RedLynx,Finland,2000
Phoenix,Unknown (ID: None),Unknown
Nintendo IRD,Japan,2000
KCE,Unknown (ID: None),Unknown
GameStar,Unknown (ID: None),Unknown
Capcom Europe,Unknown (ID: None),Unknown
Bluehole Studio,"Korea, Republic of",2007
En Masse Entertainment,Unknown (ID: None),Unknown
Gameforge,Germany,2003
Nexon,Japan,1994
NHN PlayArt,Unknown (ID: None),Unknown
Lucas Arts,Unknown (ID: None),Unknown
Nintendo EPD,Japan,2015
Sega AM5,Unknown (ID: None),Unknown
Smilebit,Japan,2000
Halfbrick Studios,Australia,2001
Knowledge Adventure,United States of America,1991
Papyrus Design Group,Unknown (ID: None),Unknown
Millennium Kitchen,Unknown (ID: None),Unknown
Dual Corporation,Unknown (ID: None),Unknown
Cohort Studos,United Kingdom of Great Britain and Northern Ireland,Unknown
Bandai Namco Entertainment Europe,United Kingdom of Great Britain and Northern Ireland,2015
Cunning Developments,Unknown (ID: None),Unknown
Dingo,Unknown (ID: None),Unknown
THQ San Diego,Unknown (ID: None),Unknown
Red Zero Games,Unknown (ID: None),Unknown
DON'T NOD,France,2008
MuuMuu,Unknown (ID: None),Unknown
Kuju Entertainment,United Kingdom of Great Britain and Northern Ireland,1998
JVC,Japan,1927
BMG Interactive Entertainment,Unknown (ID: None),Unknown
Japan Home Video Co.,Unknown (ID: None),Unknown
Saurus,Unknown (ID: None),1993
System Vision,Unknown (ID: None),Unknown
Monolith Corp.,Unknown (ID: None),Unknown
D4 Enterprise,Unknown (ID: None),Unknown
Boss Game Studios,Unknown (ID: None),Unknown
Kemco,Japan,1984
"GungHo Online Entertainment, Inc.",Japan,2002
Twisted Pixel Games,Unknown (ID: None),Unknown
Jet Black Games,Canada,Unknown
Berkeley Systems,United States of America,1987
Starsphere Interactive,Unknown (ID: None),Unknown
Atelier Double,Japan,1986
Zen Studios,Hungary,2000
Sidhe Interactive,New Zealand,Unknown
Valcon Games,Unknown (ID: None),Unknown
Frogwares,Ukraine,2000
Marvelous,Japan,2014
Marvelous Europe Ltd.,United Kingdom of Great Britain and Northern Ireland,2012
WOW Entertainment,Japan,2000
SEGA AM1,Unknown (ID: None),Unknown
Namco Bandai Games America,Unknown (ID: None),Unknown
Zenimax Europe,Unknown (ID: None),Unknown
Tirnanog,Unknown (ID: None),Unknown
Noise,Unknown (ID: None),Unknown
Sega Studios San Francisco,Unknown (ID: None),Unknown
Mindscape,"Netherlands, Kingdom of the",1983
The Fizz Factor,Unknown (ID: None),Unknown
Milestone,Italy,1994
Redtribe,Unknown (ID: None),Unknown
Amuze,Sweden,1996
Strategy First,Canada,1990
Firemint Pty,Unknown (ID: None),Unknown
Buena Vista Interactive,Unknown (ID: None),Unknown
Climax Handheld Games,Unknown (ID: None),Unknown
AMD,Unknown (ID: None),Unknown
7seventh chord,Unknown (ID: None),Unknown
Robot Entertainment,United States of America,2009
Crafts & Meister,Japan,2004
Solid,Japan,1994
Blueside,"Korea, Republic of",2003
Team Andromeda,Japan,1994
Cauldron HQ,Slovakia,1996
Terraglyph Interactive Studios,United States of America,1994
Square Enix Business Division 4,Japan,2013
Panic Button Games,United States of America,2007
Psyonix,United States of America,2000
VU Games,Unknown (ID: None),Unknown
Playbox,Unknown (ID: None),Unknown
Genki Co. Ltd.,Unknown (ID: None),Unknown
Smack Down Productions,Unknown (ID: None),Unknown
Zombie Studios,United States of America,2004
W!Games,Unknown (ID: None),Unknown
Zener Works Inc.,Unknown (ID: None),Unknown
H2O Entertainment,Unknown (ID: None),Unknown
Alexey Pajitnov,Unknown (ID: None),Unknown
Unique Development Studios,Sweden,1993
Games Farm,Slovakia,2001
Leguna,Unknown (ID: None),Unknown
B.B. Studio,Japan,1994
Cattle Call,Japan,1998
Sandlot,Unknown (ID: None),Unknown
Hypnotix,Unknown (ID: None),Unknown
Airtight Games,United States of America,2004
Cost,Unknown (ID: None),Unknown
Deep Silver Dambuster Studios,United Kingdom of Great Britain and Northern Ireland,2014
Toylogic,Japan,2006
Y'sk,Unknown (ID: None),Unknown
Toontraxx,Unknown (ID: None),Unknown
Zuxxes,Unknown (ID: None),Unknown
Frontline Studios,Unknown (ID: None),Unknown
Funbox Media Ltd,Unknown (ID: None),Unknown
Calaris Studios,Poland,1993
Brash Entertainment,Unknown (ID: None),Unknown
Dorasu Co.,Unknown (ID: None),Unknown
Swingin' Ape Studios,United States of America,2000
FX Interactive,Spain,1999
Haemimont Games,Bulgaria,1997
Kalypso Media,Germany,2006
Studio Alex,Japan,1990
Nadeo,France,2000
